
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=1000, nthreads=16, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036097 s
Single task: Run no.  1: 74 occurrences found in 0,036963 s
Single task: Run no.  2: 74 occurrences found in 0,037570 s
Single task: Run no.  3: 74 occurrences found in 0,036722 s
Single task: Run no.  4: 74 occurrences found in 0,036900 s
Single task: Run no.  5: 74 occurrences found in 0,036949 s
Single task: Run no.  6: 74 occurrences found in 0,037277 s
Single task: Run no.  7: 74 occurrences found in 0,036625 s
Single task: Run no.  8: 74 occurrences found in 0,036695 s
Single task: Run no.  9: 74 occurrences found in 0,036054 s
Single task: Run no. 10: 74 occurrences found in 0,036465 s
Single task: Run no. 11: 74 occurrences found in 0,038055 s
Single task: Run no. 12: 74 occurrences found in 0,036651 s
Single task: Run no. 13: 74 occurrences found in 0,036635 s
Single task: Run no. 14: 74 occurrences found in 0,036651 s
Single task: Run no. 15: 74 occurrences found in 0,037709 s
Single task: Run no. 16: 74 occurrences found in 0,038347 s
Single task: Run no. 17: 74 occurrences found in 0,036775 s
Single task: Run no. 18: 74 occurrences found in 0,036763 s
Single task: Run no. 19: 74 occurrences found in 0,036684 s
Single task: Run no. 20: 74 occurrences found in 0,036650 s
Single task: Run no. 21: 74 occurrences found in 0,036681 s
Single task: Run no. 22: 74 occurrences found in 0,036672 s
Single task: Run no. 23: 74 occurrences found in 0,036733 s
Single task: Run no. 24: 74 occurrences found in 0,036668 s
Single task: Run no. 25: 74 occurrences found in 0,036659 s
Single task: Run no. 26: 74 occurrences found in 0,036699 s
Single task: Run no. 27: 74 occurrences found in 0,037004 s
Single task: Run no. 28: 74 occurrences found in 0,036772 s
Single task: Run no. 29: 74 occurrences found in 0,036791 s
Single task: Run no. 30: 74 occurrences found in 0,036768 s
Single task: Run no. 31: 74 occurrences found in 0,036725 s
Single task: Run no. 32: 74 occurrences found in 0,036770 s
Single task: Run no. 33: 74 occurrences found in 0,036716 s
Single task: Run no. 34: 74 occurrences found in 0,037175 s
Single task: Run no. 35: 74 occurrences found in 0,036725 s
Single task: Run no. 36: 74 occurrences found in 0,036864 s
Single task: Run no. 37: 74 occurrences found in 0,036642 s
Single task: Run no. 38: 74 occurrences found in 0,036513 s
Single task: Run no. 39: 74 occurrences found in 0,035960 s
Single task: Run no. 40: 74 occurrences found in 0,035764 s
Single task: Run no. 41: 74 occurrences found in 0,035967 s
Single task: Run no. 42: 74 occurrences found in 0,035957 s
Single task: Run no. 43: 74 occurrences found in 0,035853 s
Single task: Run no. 44: 74 occurrences found in 0,035771 s
Single task: Run no. 45: 74 occurrences found in 0,035778 s
Single task: Run no. 46: 74 occurrences found in 0,035753 s
Single task: Run no. 47: 74 occurrences found in 0,035909 s
Single task: Run no. 48: 74 occurrences found in 0,035872 s
Single task: Run no. 49: 74 occurrences found in 0,035761 s
Single task: Run no. 50: 74 occurrences found in 0,035791 s
Single task: Run no. 51: 74 occurrences found in 0,035920 s
Single task: Run no. 52: 74 occurrences found in 0,035761 s
Single task: Run no. 53: 74 occurrences found in 0,035797 s
Single task: Run no. 54: 74 occurrences found in 0,035723 s
Single task: Run no. 55: 74 occurrences found in 0,035903 s
Single task: Run no. 56: 74 occurrences found in 0,035791 s
Single task: Run no. 57: 74 occurrences found in 0,035823 s
Single task: Run no. 58: 74 occurrences found in 0,035769 s
Single task: Run no. 59: 74 occurrences found in 0,035817 s
Single task: Run no. 60: 74 occurrences found in 0,035807 s
Single task: Run no. 61: 74 occurrences found in 0,035712 s
Single task: Run no. 62: 74 occurrences found in 0,036208 s
Single task: Run no. 63: 74 occurrences found in 0,035759 s
Single task: Run no. 64: 74 occurrences found in 0,035887 s
Single task: Run no. 65: 74 occurrences found in 0,035721 s
Single task: Run no. 66: 74 occurrences found in 0,035742 s
Single task: Run no. 67: 74 occurrences found in 0,035888 s
Single task: Run no. 68: 74 occurrences found in 0,035747 s
Single task: Run no. 69: 74 occurrences found in 0,035943 s
Single task: Run no. 70: 74 occurrences found in 0,035916 s
Single task: Run no. 71: 74 occurrences found in 0,035754 s
Single task: Run no. 72: 74 occurrences found in 0,035755 s
Single task: Run no. 73: 74 occurrences found in 0,035748 s
Single task: Run no. 74: 74 occurrences found in 0,035764 s
Single task: Run no. 75: 74 occurrences found in 0,035791 s
Single task: Run no. 76: 74 occurrences found in 0,035803 s
Single task: Run no. 77: 74 occurrences found in 0,036191 s
Single task: Run no. 78: 74 occurrences found in 0,035766 s
Single task: Run no. 79: 74 occurrences found in 0,035763 s
Single task: Run no. 80: 74 occurrences found in 0,035777 s
Single task: Run no. 81: 74 occurrences found in 0,035835 s
Single task: Run no. 82: 74 occurrences found in 0,035822 s
