
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=1000, nthreads=4, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036461 s
Single task: Run no.  1: 74 occurrences found in 0,037426 s
Single task: Run no.  2: 74 occurrences found in 0,036176 s
Single task: Run no.  3: 74 occurrences found in 0,036677 s
Single task: Run no.  4: 74 occurrences found in 0,036734 s
Single task: Run no.  5: 74 occurrences found in 0,036530 s
Single task: Run no.  6: 74 occurrences found in 0,036009 s
Single task: Run no.  7: 74 occurrences found in 0,035956 s
Single task: Run no.  8: 74 occurrences found in 0,035856 s
Single task: Run no.  9: 74 occurrences found in 0,043834 s
Single task: Run no. 10: 74 occurrences found in 0,038078 s
Single task: Run no. 11: 74 occurrences found in 0,036610 s
Single task: Run no. 12: 74 occurrences found in 0,036687 s
Single task: Run no. 13: 74 occurrences found in 0,036450 s
Single task: Run no. 14: 74 occurrences found in 0,040081 s
Single task: Run no. 15: 74 occurrences found in 0,036439 s
Single task: Run no. 16: 74 occurrences found in 0,036605 s
Single task: Run no. 17: 74 occurrences found in 0,036817 s
Single task: Run no. 18: 74 occurrences found in 0,037137 s
Single task: Run no. 19: 74 occurrences found in 0,037090 s
Single task: Run no. 20: 74 occurrences found in 0,036694 s
Single task: Run no. 21: 74 occurrences found in 0,036500 s
Single task: Run no. 22: 74 occurrences found in 0,036600 s
Single task: Run no. 23: 74 occurrences found in 0,036561 s
Single task: Run no. 24: 74 occurrences found in 0,036669 s
Single task: Run no. 25: 74 occurrences found in 0,036713 s
Single task: Run no. 26: 74 occurrences found in 0,036870 s
Single task: Run no. 27: 74 occurrences found in 0,036860 s
Single task: Run no. 28: 74 occurrences found in 0,036716 s
Single task: Run no. 29: 74 occurrences found in 0,036691 s
Single task: Run no. 30: 74 occurrences found in 0,036646 s
Single task: Run no. 31: 74 occurrences found in 0,036694 s
Single task: Run no. 32: 74 occurrences found in 0,036756 s
Single task: Run no. 33: 74 occurrences found in 0,036971 s
Single task: Run no. 34: 74 occurrences found in 0,036691 s
Single task: Run no. 35: 74 occurrences found in 0,036180 s
Single task: Run no. 36: 74 occurrences found in 0,036403 s
Single task: Run no. 37: 74 occurrences found in 0,036037 s
Single task: Run no. 38: 74 occurrences found in 0,035777 s
