
File=Chromosome.txt, pattern='A'
ntasks=1000, nthreads=4, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,034982 s
Single task: Run no.  1: 1251521 occurrences found in 0,177763 s
Single task: Run no.  2: 1251521 occurrences found in 0,035003 s
Single task: Run no.  3: 1251521 occurrences found in 0,034760 s
Single task: Run no.  4: 1251521 occurrences found in 0,202192 s
Single task: Run no.  5: 1251521 occurrences found in 0,034268 s
Single task: Run no.  6: 1251521 occurrences found in 0,034698 s
Single task: Run no.  7: 1251521 occurrences found in 0,261371 s
Single task: Run no.  8: 1251521 occurrences found in 0,050719 s
Single task: Run no.  9: 1251521 occurrences found in 0,051583 s
Single task: Run no. 10: 1251521 occurrences found in 0,050926 s
Single task: Run no. 11: 1251521 occurrences found in 0,213037 s
Single task: Run no. 12: 1251521 occurrences found in 0,034713 s
Single task: Run no. 13: 1251521 occurrences found in 0,034268 s
Single task: Run no. 14: 1251521 occurrences found in 0,034690 s
Single task: Run no. 15: 1251521 occurrences found in 0,201030 s
Single task: Run no. 16: 1251521 occurrences found in 0,034652 s
Single task: Run no. 17: 1251521 occurrences found in 0,033735 s
Single task: Run no. 18: 1251521 occurrences found in 0,034379 s
Single task: Run no. 19: 1251521 occurrences found in 0,196624 s
Single task: Run no. 20: 1251521 occurrences found in 0,034144 s
Single task: Run no. 21: 1251521 occurrences found in 0,033964 s
Single task: Run no. 22: 1251521 occurrences found in 0,034431 s
Single task: Run no. 23: 1251521 occurrences found in 0,218220 s
Single task: Run no. 24: 1251521 occurrences found in 0,052545 s
Single task: Run no. 25: 1251521 occurrences found in 0,051547 s
Single task: Run no. 26: 1251521 occurrences found in 0,052477 s
Single task: Run no. 27: 1251521 occurrences found in 0,172729 s
Single task: Run no. 28: 1251521 occurrences found in 0,034602 s
Single task: Run no. 29: 1251521 occurrences found in 0,033922 s
Single task: Run no. 30: 1251521 occurrences found in 0,034264 s
Single task: Run no. 31: 1251521 occurrences found in 0,034328 s
Single task: Run no. 32: 1251521 occurrences found in 0,213202 s
Single task: Run no. 33: 1251521 occurrences found in 0,034252 s
Single task: Run no. 34: 1251521 occurrences found in 0,034471 s
Single task: Run no. 35: 1251521 occurrences found in 0,034098 s
Single task: Run no. 36: 1251521 occurrences found in 0,240027 s
