
File=Chromosome.txt, pattern='A'
ntasks=10, nthreads=4, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,034559 s
Single task: Run no.  1: 1251521 occurrences found in 0,143007 s
Single task: Run no.  2: 1251521 occurrences found in 0,034708 s
Single task: Run no.  3: 1251521 occurrences found in 0,034298 s
Single task: Run no.  4: 1251521 occurrences found in 0,176364 s
Single task: Run no.  5: 1251521 occurrences found in 0,035047 s
Single task: Run no.  6: 1251521 occurrences found in 0,034436 s
Single task: Run no.  7: 1251521 occurrences found in 0,228067 s
Single task: Run no.  8: 1251521 occurrences found in 0,051427 s
Single task: Run no.  9: 1251521 occurrences found in 0,051104 s
Single task: Run no. 10: 1251521 occurrences found in 0,051111 s
Single task: Run no. 11: 1251521 occurrences found in 0,299846 s
Single task: Run no. 12: 1251521 occurrences found in 0,034171 s
Single task: Run no. 13: 1251521 occurrences found in 0,034203 s
Single task: Run no. 14: 1251521 occurrences found in 0,034335 s
Single task: Run no. 15: 1251521 occurrences found in 0,275158 s
Single task: Run no. 16: 1251521 occurrences found in 0,034242 s
Single task: Run no. 17: 1251521 occurrences found in 0,034150 s
Single task: Run no. 18: 1251521 occurrences found in 0,034330 s
Single task: Run no. 19: 1251521 occurrences found in 0,277323 s
Single task: Run no. 20: 1251521 occurrences found in 0,034091 s
Single task: Run no. 21: 1251521 occurrences found in 0,034032 s
Single task: Run no. 22: 1251521 occurrences found in 0,034375 s
Single task: Run no. 23: 1251521 occurrences found in 0,208966 s
Single task: Run no. 24: 1251521 occurrences found in 0,051746 s
Single task: Run no. 25: 1251521 occurrences found in 0,051462 s
Single task: Run no. 26: 1251521 occurrences found in 0,051379 s
Single task: Run no. 27: 1251521 occurrences found in 0,164476 s
Single task: Run no. 28: 1251521 occurrences found in 0,034905 s
Single task: Run no. 29: 1251521 occurrences found in 0,034334 s
Single task: Run no. 30: 1251521 occurrences found in 0,034602 s
Single task: Run no. 31: 1251521 occurrences found in 0,034298 s
Single task: Run no. 32: 1251521 occurrences found in 0,207491 s
Single task: Run no. 33: 1251521 occurrences found in 0,034172 s
Single task: Run no. 34: 1251521 occurrences found in 0,034518 s
Single task: Run no. 35: 1251521 occurrences found in 0,034244 s
Single task: Run no. 36: 1251521 occurrences found in 0,151836 s
Single task: Run no. 37: 1251521 occurrences found in 0,034742 s
Single task: Run no. 38: 1251521 occurrences found in 0,034067 s
Single task: Run no. 39: 1251521 occurrences found in 0,033948 s
Single task: Run no. 40: 1251521 occurrences found in 0,034620 s
Single task: Run no. 41: 1251521 occurrences found in 0,199163 s
Single task: Run no. 42: 1251521 occurrences found in 0,051921 s
Single task: Run no. 43: 1251521 occurrences found in 0,051140 s
Single task: Run no. 44: 1251521 occurrences found in 0,050733 s
Single task: Run no. 45: 1251521 occurrences found in 0,050522 s
Single task: Run no. 46: 1251521 occurrences found in 0,243330 s
Single task: Run no. 47: 1251521 occurrences found in 0,034556 s
Single task: Run no. 48: 1251521 occurrences found in 0,034324 s
Single task: Run no. 49: 1251521 occurrences found in 0,034196 s
Single task: Run no. 50: 1251521 occurrences found in 0,033966 s
Single task: Run no. 51: 1251521 occurrences found in 0,175573 s
Single task: Run no. 52: 1251521 occurrences found in 0,034124 s
Single task: Run no. 53: 1251521 occurrences found in 0,034209 s
Single task: Run no. 54: 1251521 occurrences found in 0,034318 s
Single task: Run no. 55: 1251521 occurrences found in 0,034834 s
Single task: Run no. 56: 1251521 occurrences found in 0,225461 s
