
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=100, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036893 s
Single task: Run no.  1: 74 occurrences found in 0,036835 s
Single task: Run no.  2: 74 occurrences found in 0,036675 s
Single task: Run no.  3: 74 occurrences found in 0,036671 s
Single task: Run no.  4: 74 occurrences found in 0,035949 s
Single task: Run no.  5: 74 occurrences found in 0,035764 s
Single task: Run no.  6: 74 occurrences found in 0,035830 s
Single task: Run no.  7: 74 occurrences found in 0,036872 s
Single task: Run no.  8: 74 occurrences found in 0,038376 s
Single task: Run no.  9: 74 occurrences found in 0,036228 s
Single task: Run no. 10: 74 occurrences found in 0,036770 s
Single task: Run no. 11: 74 occurrences found in 0,036645 s
Single task: Run no. 12: 74 occurrences found in 0,036792 s
Single task: Run no. 13: 74 occurrences found in 0,036741 s
Single task: Run no. 14: 74 occurrences found in 0,036656 s
Single task: Run no. 15: 74 occurrences found in 0,036683 s
Single task: Run no. 16: 74 occurrences found in 0,036679 s
Single task: Run no. 17: 74 occurrences found in 0,036623 s
Single task: Run no. 18: 74 occurrences found in 0,036640 s
Single task: Run no. 19: 74 occurrences found in 0,036626 s
Single task: Run no. 20: 74 occurrences found in 0,036658 s
Single task: Run no. 21: 74 occurrences found in 0,036676 s
Single task: Run no. 22: 74 occurrences found in 0,036695 s
Single task: Run no. 23: 74 occurrences found in 0,036679 s
Single task: Run no. 24: 74 occurrences found in 0,036662 s
Single task: Run no. 25: 74 occurrences found in 0,036704 s
Single task: Run no. 26: 74 occurrences found in 0,036816 s
Single task: Run no. 27: 74 occurrences found in 0,036669 s
Single task: Run no. 28: 74 occurrences found in 0,036685 s
Single task: Run no. 29: 74 occurrences found in 0,036903 s
Single task: Run no. 30: 74 occurrences found in 0,036674 s
Single task: Run no. 31: 74 occurrences found in 0,036705 s
Single task: Run no. 32: 74 occurrences found in 0,036714 s
Single task: Run no. 33: 74 occurrences found in 0,036938 s
Single task: Run no. 34: 74 occurrences found in 0,036897 s
Single task: Run no. 35: 74 occurrences found in 0,036640 s
Single task: Run no. 36: 74 occurrences found in 0,036286 s
Single task: Run no. 37: 74 occurrences found in 0,035948 s
Single task: Run no. 38: 74 occurrences found in 0,035749 s
Single task: Run no. 39: 74 occurrences found in 0,035792 s
Single task: Run no. 40: 74 occurrences found in 0,035772 s
Single task: Run no. 41: 74 occurrences found in 0,035807 s
Single task: Run no. 42: 74 occurrences found in 0,035763 s
Single task: Run no. 43: 74 occurrences found in 0,035747 s
