
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=10, nthreads=8, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036468 s
Single task: Run no.  1: 74 occurrences found in 0,037264 s
Single task: Run no.  2: 74 occurrences found in 0,036910 s
Single task: Run no.  3: 74 occurrences found in 0,036717 s
Single task: Run no.  4: 74 occurrences found in 0,037294 s
Single task: Run no.  5: 74 occurrences found in 0,036654 s
Single task: Run no.  6: 74 occurrences found in 0,036898 s
Single task: Run no.  7: 74 occurrences found in 0,036986 s
Single task: Run no.  8: 74 occurrences found in 0,035973 s
Single task: Run no.  9: 74 occurrences found in 0,035829 s
Single task: Run no. 10: 74 occurrences found in 0,037133 s
Single task: Run no. 11: 74 occurrences found in 0,038366 s
Single task: Run no. 12: 74 occurrences found in 0,036381 s
Single task: Run no. 13: 74 occurrences found in 0,036455 s
Single task: Run no. 14: 74 occurrences found in 0,036984 s
Single task: Run no. 15: 74 occurrences found in 0,037188 s
Single task: Run no. 16: 74 occurrences found in 0,036664 s
Single task: Run no. 17: 74 occurrences found in 0,036708 s
Single task: Run no. 18: 74 occurrences found in 0,036690 s
Single task: Run no. 19: 74 occurrences found in 0,036715 s
Single task: Run no. 20: 74 occurrences found in 0,036670 s
Single task: Run no. 21: 74 occurrences found in 0,036649 s
Single task: Run no. 22: 74 occurrences found in 0,036784 s
Single task: Run no. 23: 74 occurrences found in 0,036656 s
Single task: Run no. 24: 74 occurrences found in 0,036791 s
Single task: Run no. 25: 74 occurrences found in 0,036676 s
Single task: Run no. 26: 74 occurrences found in 0,036735 s
Single task: Run no. 27: 74 occurrences found in 0,036816 s
Single task: Run no. 28: 74 occurrences found in 0,036748 s
Single task: Run no. 29: 74 occurrences found in 0,036473 s
Single task: Run no. 30: 74 occurrences found in 0,036221 s
Single task: Run no. 31: 74 occurrences found in 0,036167 s
Single task: Run no. 32: 74 occurrences found in 0,036178 s
Single task: Run no. 33: 74 occurrences found in 0,036511 s
Single task: Run no. 34: 74 occurrences found in 0,036269 s
Single task: Run no. 35: 74 occurrences found in 0,036652 s
Single task: Run no. 36: 74 occurrences found in 0,036674 s
Single task: Run no. 37: 74 occurrences found in 0,036454 s
Single task: Run no. 38: 74 occurrences found in 0,035734 s
Single task: Run no. 39: 74 occurrences found in 0,036026 s
Single task: Run no. 40: 74 occurrences found in 0,035721 s
Single task: Run no. 41: 74 occurrences found in 0,035782 s
Single task: Run no. 42: 74 occurrences found in 0,035945 s
Single task: Run no. 43: 74 occurrences found in 0,035839 s
Single task: Run no. 44: 74 occurrences found in 0,035823 s
Single task: Run no. 45: 74 occurrences found in 0,035802 s
Single task: Run no. 46: 74 occurrences found in 0,035903 s
Single task: Run no. 47: 74 occurrences found in 0,035883 s
Single task: Run no. 48: 74 occurrences found in 0,035762 s
Single task: Run no. 49: 74 occurrences found in 0,035797 s
Single task: Run no. 50: 74 occurrences found in 0,035845 s
Single task: Run no. 51: 74 occurrences found in 0,035865 s
Single task: Run no. 52: 74 occurrences found in 0,035891 s
Single task: Run no. 53: 74 occurrences found in 0,035771 s
Single task: Run no. 54: 74 occurrences found in 0,035946 s
Single task: Run no. 55: 74 occurrences found in 0,035976 s
Single task: Run no. 56: 74 occurrences found in 0,035764 s
Single task: Run no. 57: 74 occurrences found in 0,035793 s
Single task: Run no. 58: 74 occurrences found in 0,035741 s
Single task: Run no. 59: 74 occurrences found in 0,035836 s
Single task: Run no. 60: 74 occurrences found in 0,035775 s
Single task: Run no. 61: 74 occurrences found in 0,035793 s
Single task: Run no. 62: 74 occurrences found in 0,035889 s
Single task: Run no. 63: 74 occurrences found in 0,035944 s
Single task: Run no. 64: 74 occurrences found in 0,035847 s
Single task: Run no. 65: 74 occurrences found in 0,035780 s
Single task: Run no. 66: 74 occurrences found in 0,035837 s
Single task: Run no. 67: 74 occurrences found in 0,035769 s
Single task: Run no. 68: 74 occurrences found in 0,035765 s
Single task: Run no. 69: 74 occurrences found in 0,035969 s
Single task: Run no. 70: 74 occurrences found in 0,036003 s
Single task: Run no. 71: 74 occurrences found in 0,035784 s
Single task: Run no. 72: 74 occurrences found in 0,035761 s
Single task: Run no. 73: 74 occurrences found in 0,035781 s
Single task: Run no. 74: 74 occurrences found in 0,035764 s
Single task: Run no. 75: 74 occurrences found in 0,035785 s
Single task: Run no. 76: 74 occurrences found in 0,035836 s
Single task: Run no. 77: 74 occurrences found in 0,035770 s
