
File=Chromosome.txt, pattern='A'
ntasks=100, nthreads=2, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,034649 s
Single task: Run no.  1: 1251521 occurrences found in 0,142463 s
Single task: Run no.  2: 1251521 occurrences found in 0,035044 s
Single task: Run no.  3: 1251521 occurrences found in 0,034234 s
Single task: Run no.  4: 1251521 occurrences found in 0,160673 s
Single task: Run no.  5: 1251521 occurrences found in 0,034412 s
Single task: Run no.  6: 1251521 occurrences found in 0,034276 s
Single task: Run no.  7: 1251521 occurrences found in 0,221432 s
Single task: Run no.  8: 1251521 occurrences found in 0,090905 s
Single task: Run no.  9: 1251521 occurrences found in 0,051022 s
Single task: Run no. 10: 1251521 occurrences found in 0,050957 s
Single task: Run no. 11: 1251521 occurrences found in 0,283305 s
Single task: Run no. 12: 1251521 occurrences found in 0,034357 s
Single task: Run no. 13: 1251521 occurrences found in 0,034813 s
Single task: Run no. 14: 1251521 occurrences found in 0,034400 s
Single task: Run no. 15: 1251521 occurrences found in 0,284052 s
Single task: Run no. 16: 1251521 occurrences found in 0,034096 s
Single task: Run no. 17: 1251521 occurrences found in 0,034171 s
Single task: Run no. 18: 1251521 occurrences found in 0,034103 s
Single task: Run no. 19: 1251521 occurrences found in 0,195139 s
Single task: Run no. 20: 1251521 occurrences found in 0,034136 s
Single task: Run no. 21: 1251521 occurrences found in 0,033794 s
Single task: Run no. 22: 1251521 occurrences found in 0,033870 s
Single task: Run no. 23: 1251521 occurrences found in 0,210376 s
Single task: Run no. 24: 1251521 occurrences found in 0,051073 s
Single task: Run no. 25: 1251521 occurrences found in 0,050931 s
Single task: Run no. 26: 1251521 occurrences found in 0,050607 s
Single task: Run no. 27: 1251521 occurrences found in 0,163768 s
Single task: Run no. 28: 1251521 occurrences found in 0,034776 s
Single task: Run no. 29: 1251521 occurrences found in 0,034180 s
Single task: Run no. 30: 1251521 occurrences found in 0,033467 s
Single task: Run no. 31: 1251521 occurrences found in 0,034117 s
Single task: Run no. 32: 1251521 occurrences found in 0,195976 s
Single task: Run no. 33: 1251521 occurrences found in 0,034091 s
Single task: Run no. 34: 1251521 occurrences found in 0,033886 s
Single task: Run no. 35: 1251521 occurrences found in 0,033571 s
Single task: Run no. 36: 1251521 occurrences found in 0,142650 s
Single task: Run no. 37: 1251521 occurrences found in 0,034858 s
Single task: Run no. 38: 1251521 occurrences found in 0,033784 s
Single task: Run no. 39: 1251521 occurrences found in 0,033641 s
Single task: Run no. 40: 1251521 occurrences found in 0,033489 s
Single task: Run no. 41: 1251521 occurrences found in 0,190143 s
Single task: Run no. 42: 1251521 occurrences found in 0,052190 s
Single task: Run no. 43: 1251521 occurrences found in 0,051444 s
Single task: Run no. 44: 1251521 occurrences found in 0,051624 s
Single task: Run no. 45: 1251521 occurrences found in 0,051523 s
Single task: Run no. 46: 1251521 occurrences found in 0,193729 s
Single task: Run no. 47: 1251521 occurrences found in 0,034318 s
Single task: Run no. 48: 1251521 occurrences found in 0,034220 s
Single task: Run no. 49: 1251521 occurrences found in 0,034328 s
Single task: Run no. 50: 1251521 occurrences found in 0,033407 s
Single task: Run no. 51: 1251521 occurrences found in 0,185222 s
Single task: Run no. 52: 1251521 occurrences found in 0,035528 s
Single task: Run no. 53: 1251521 occurrences found in 0,034518 s
Single task: Run no. 54: 1251521 occurrences found in 0,034106 s
Single task: Run no. 55: 1251521 occurrences found in 0,034667 s
Single task: Run no. 56: 1251521 occurrences found in 0,333116 s
Single task: Run no. 57: 1251521 occurrences found in 0,034731 s
Single task: Run no. 58: 1251521 occurrences found in 0,033751 s
Single task: Run no. 59: 1251521 occurrences found in 0,033520 s
Single task: Run no. 60: 1251521 occurrences found in 0,033526 s
Single task: Run no. 61: 1251521 occurrences found in 0,198661 s
Single task: Run no. 62: 1251521 occurrences found in 0,051016 s
Single task: Run no. 63: 1251521 occurrences found in 0,051337 s
