
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=100, nthreads=16, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036840 s
Single task: Run no.  1: 74 occurrences found in 0,037952 s
Single task: Run no.  2: 74 occurrences found in 0,037131 s
Single task: Run no.  3: 74 occurrences found in 0,037065 s
Single task: Run no.  4: 74 occurrences found in 0,037044 s
Single task: Run no.  5: 74 occurrences found in 0,036906 s
Single task: Run no.  6: 74 occurrences found in 0,036993 s
Single task: Run no.  7: 74 occurrences found in 0,035853 s
Single task: Run no.  8: 74 occurrences found in 0,035815 s
Single task: Run no.  9: 74 occurrences found in 0,035783 s
Single task: Run no. 10: 74 occurrences found in 0,037229 s
Single task: Run no. 11: 74 occurrences found in 0,039682 s
Single task: Run no. 12: 74 occurrences found in 0,037694 s
Single task: Run no. 13: 74 occurrences found in 0,036720 s
Single task: Run no. 14: 74 occurrences found in 0,036867 s
Single task: Run no. 15: 74 occurrences found in 0,039109 s
Single task: Run no. 16: 74 occurrences found in 0,036879 s
Single task: Run no. 17: 74 occurrences found in 0,036507 s
Single task: Run no. 18: 74 occurrences found in 0,037096 s
Single task: Run no. 19: 74 occurrences found in 0,036756 s
Single task: Run no. 20: 74 occurrences found in 0,036491 s
Single task: Run no. 21: 74 occurrences found in 0,036249 s
Single task: Run no. 22: 74 occurrences found in 0,036356 s
Single task: Run no. 23: 74 occurrences found in 0,036636 s
Single task: Run no. 24: 74 occurrences found in 0,036747 s
Single task: Run no. 25: 74 occurrences found in 0,036976 s
Single task: Run no. 26: 74 occurrences found in 0,036695 s
Single task: Run no. 27: 74 occurrences found in 0,036724 s
Single task: Run no. 28: 74 occurrences found in 0,036720 s
Single task: Run no. 29: 74 occurrences found in 0,036725 s
Single task: Run no. 30: 74 occurrences found in 0,036783 s
Single task: Run no. 31: 74 occurrences found in 0,036511 s
Single task: Run no. 32: 74 occurrences found in 0,036174 s
Single task: Run no. 33: 74 occurrences found in 0,036288 s
Single task: Run no. 34: 74 occurrences found in 0,036690 s
Single task: Run no. 35: 74 occurrences found in 0,037256 s
Single task: Run no. 36: 74 occurrences found in 0,036561 s
Single task: Run no. 37: 74 occurrences found in 0,035854 s
Single task: Run no. 38: 74 occurrences found in 0,035957 s
Single task: Run no. 39: 74 occurrences found in 0,035920 s
Single task: Run no. 40: 74 occurrences found in 0,035783 s
Single task: Run no. 41: 74 occurrences found in 0,035868 s
Single task: Run no. 42: 74 occurrences found in 0,036333 s
Single task: Run no. 43: 74 occurrences found in 0,035761 s
Single task: Run no. 44: 74 occurrences found in 0,035785 s
Single task: Run no. 45: 74 occurrences found in 0,035820 s
Single task: Run no. 46: 74 occurrences found in 0,035851 s
Single task: Run no. 47: 74 occurrences found in 0,035837 s
Single task: Run no. 48: 74 occurrences found in 0,035776 s
Single task: Run no. 49: 74 occurrences found in 0,035806 s
Single task: Run no. 50: 74 occurrences found in 0,035752 s
Single task: Run no. 51: 74 occurrences found in 0,035797 s
Single task: Run no. 52: 74 occurrences found in 0,035711 s
Single task: Run no. 53: 74 occurrences found in 0,035948 s
Single task: Run no. 54: 74 occurrences found in 0,035823 s
Single task: Run no. 55: 74 occurrences found in 0,036081 s
Single task: Run no. 56: 74 occurrences found in 0,035822 s
Single task: Run no. 57: 74 occurrences found in 0,035861 s
Single task: Run no. 58: 74 occurrences found in 0,035738 s
Single task: Run no. 59: 74 occurrences found in 0,035843 s
Single task: Run no. 60: 74 occurrences found in 0,035823 s
Single task: Run no. 61: 74 occurrences found in 0,035808 s
Single task: Run no. 62: 74 occurrences found in 0,036257 s
Single task: Run no. 63: 74 occurrences found in 0,035826 s
Single task: Run no. 64: 74 occurrences found in 0,035815 s
Single task: Run no. 65: 74 occurrences found in 0,035817 s
Single task: Run no. 66: 74 occurrences found in 0,035960 s
Single task: Run no. 67: 74 occurrences found in 0,035775 s
Single task: Run no. 68: 74 occurrences found in 0,035770 s
Single task: Run no. 69: 74 occurrences found in 0,035759 s
Single task: Run no. 70: 74 occurrences found in 0,035970 s
Single task: Run no. 71: 74 occurrences found in 0,036318 s
