
File=Chromosome.txt, pattern='A'
ntasks=1000, nthreads=2, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,033928 s
Single task: Run no.  1: 1251521 occurrences found in 0,146910 s
Single task: Run no.  2: 1251521 occurrences found in 0,034536 s
Single task: Run no.  3: 1251521 occurrences found in 0,033966 s
Single task: Run no.  4: 1251521 occurrences found in 0,233497 s
Single task: Run no.  5: 1251521 occurrences found in 0,034181 s
Single task: Run no.  6: 1251521 occurrences found in 0,034217 s
Single task: Run no.  7: 1251521 occurrences found in 0,273990 s
Single task: Run no.  8: 1251521 occurrences found in 0,084854 s
Single task: Run no.  9: 1251521 occurrences found in 0,051165 s
Single task: Run no. 10: 1251521 occurrences found in 0,050535 s
Single task: Run no. 11: 1251521 occurrences found in 0,274415 s
Single task: Run no. 12: 1251521 occurrences found in 0,034321 s
Single task: Run no. 13: 1251521 occurrences found in 0,033611 s
Single task: Run no. 14: 1251521 occurrences found in 0,033931 s
Single task: Run no. 15: 1251521 occurrences found in 0,280004 s
Single task: Run no. 16: 1251521 occurrences found in 0,034426 s
Single task: Run no. 17: 1251521 occurrences found in 0,034372 s
Single task: Run no. 18: 1251521 occurrences found in 0,034538 s
Single task: Run no. 19: 1251521 occurrences found in 0,201877 s
Single task: Run no. 20: 1251521 occurrences found in 0,034295 s
Single task: Run no. 21: 1251521 occurrences found in 0,033675 s
Single task: Run no. 22: 1251521 occurrences found in 0,033482 s
Single task: Run no. 23: 1251521 occurrences found in 0,217420 s
Single task: Run no. 24: 1251521 occurrences found in 0,050822 s
Single task: Run no. 25: 1251521 occurrences found in 0,050136 s
Single task: Run no. 26: 1251521 occurrences found in 0,050270 s
Single task: Run no. 27: 1251521 occurrences found in 0,163332 s
Single task: Run no. 28: 1251521 occurrences found in 0,034606 s
Single task: Run no. 29: 1251521 occurrences found in 0,034509 s
Single task: Run no. 30: 1251521 occurrences found in 0,034609 s
Single task: Run no. 31: 1251521 occurrences found in 0,034342 s
Single task: Run no. 32: 1251521 occurrences found in 0,195457 s
Single task: Run no. 33: 1251521 occurrences found in 0,034246 s
Single task: Run no. 34: 1251521 occurrences found in 0,034196 s
Single task: Run no. 35: 1251521 occurrences found in 0,034071 s
Single task: Run no. 36: 1251521 occurrences found in 0,205258 s
Single task: Run no. 37: 1251521 occurrences found in 0,034128 s
Single task: Run no. 38: 1251521 occurrences found in 0,034196 s
Single task: Run no. 39: 1251521 occurrences found in 0,034087 s
Single task: Run no. 40: 1251521 occurrences found in 0,034679 s
Single task: Run no. 41: 1251521 occurrences found in 0,205774 s
Single task: Run no. 42: 1251521 occurrences found in 0,051600 s
Single task: Run no. 43: 1251521 occurrences found in 0,051493 s
Single task: Run no. 44: 1251521 occurrences found in 0,051022 s
Single task: Run no. 45: 1251521 occurrences found in 0,051362 s
Single task: Run no. 46: 1251521 occurrences found in 0,258593 s
Single task: Run no. 47: 1251521 occurrences found in 0,034847 s
Single task: Run no. 48: 1251521 occurrences found in 0,034414 s
Single task: Run no. 49: 1251521 occurrences found in 0,034057 s
Single task: Run no. 50: 1251521 occurrences found in 0,034298 s
Single task: Run no. 51: 1251521 occurrences found in 0,247236 s
Single task: Run no. 52: 1251521 occurrences found in 0,034385 s
Single task: Run no. 53: 1251521 occurrences found in 0,034084 s
Single task: Run no. 54: 1251521 occurrences found in 0,034248 s
Single task: Run no. 55: 1251521 occurrences found in 0,034730 s
Single task: Run no. 56: 1251521 occurrences found in 0,256546 s
Single task: Run no. 57: 1251521 occurrences found in 0,034473 s
Single task: Run no. 58: 1251521 occurrences found in 0,034127 s
Single task: Run no. 59: 1251521 occurrences found in 0,033686 s
Single task: Run no. 60: 1251521 occurrences found in 0,033864 s
Single task: Run no. 61: 1251521 occurrences found in 0,301151 s
Single task: Run no. 62: 1251521 occurrences found in 0,051422 s
Single task: Run no. 63: 1251521 occurrences found in 0,051066 s
Single task: Run no. 64: 1251521 occurrences found in 0,050940 s
Single task: Run no. 65: 1251521 occurrences found in 0,051335 s
Single task: Run no. 66: 1251521 occurrences found in 0,175543 s
Single task: Run no. 67: 1251521 occurrences found in 0,034073 s
Single task: Run no. 68: 1251521 occurrences found in 0,033663 s
Single task: Run no. 69: 1251521 occurrences found in 0,033622 s
Single task: Run no. 70: 1251521 occurrences found in 0,034310 s
Single task: Run no. 71: 1251521 occurrences found in 0,274672 s
Single task: Run no. 72: 1251521 occurrences found in 0,034158 s
Single task: Run no. 73: 1251521 occurrences found in 0,033860 s
Single task: Run no. 74: 1251521 occurrences found in 0,033838 s
Single task: Run no. 75: 1251521 occurrences found in 0,033678 s
Single task: Run no. 76: 1251521 occurrences found in 0,185760 s
Single task: Run no. 77: 1251521 occurrences found in 0,033990 s
Single task: Run no. 78: 1251521 occurrences found in 0,034730 s
Single task: Run no. 79: 1251521 occurrences found in 0,034174 s
Single task: Run no. 80: 1251521 occurrences found in 0,033811 s
Single task: Run no. 81: 1251521 occurrences found in 0,148344 s
Single task: Run no. 82: 1251521 occurrences found in 0,052816 s
Single task: Run no. 83: 1251521 occurrences found in 0,050552 s
