
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=10, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036624 s
Single task: Run no.  1: 74 occurrences found in 0,038075 s
Single task: Run no.  2: 74 occurrences found in 0,037141 s
Single task: Run no.  3: 74 occurrences found in 0,037616 s
Single task: Run no.  4: 74 occurrences found in 0,036783 s
Single task: Run no.  5: 74 occurrences found in 0,036739 s
Single task: Run no.  6: 74 occurrences found in 0,036832 s
Single task: Run no.  7: 74 occurrences found in 0,036636 s
Single task: Run no.  8: 74 occurrences found in 0,036689 s
Single task: Run no.  9: 74 occurrences found in 0,036675 s
Single task: Run no. 10: 74 occurrences found in 0,036636 s
Single task: Run no. 11: 74 occurrences found in 0,036582 s
Single task: Run no. 12: 74 occurrences found in 0,035813 s
Single task: Run no. 13: 74 occurrences found in 0,035972 s
Single task: Run no. 14: 74 occurrences found in 0,036354 s
Single task: Run no. 15: 74 occurrences found in 0,039598 s
Single task: Run no. 16: 74 occurrences found in 0,036884 s
Single task: Run no. 17: 74 occurrences found in 0,036777 s
Single task: Run no. 18: 74 occurrences found in 0,036691 s
Single task: Run no. 19: 74 occurrences found in 0,036760 s
Single task: Run no. 20: 74 occurrences found in 0,036787 s
Single task: Run no. 21: 74 occurrences found in 0,036986 s
Single task: Run no. 22: 74 occurrences found in 0,036659 s
Single task: Run no. 23: 74 occurrences found in 0,036717 s
Single task: Run no. 24: 74 occurrences found in 0,036755 s
Single task: Run no. 25: 74 occurrences found in 0,036735 s
Single task: Run no. 26: 74 occurrences found in 0,036685 s
Single task: Run no. 27: 74 occurrences found in 0,036697 s
Single task: Run no. 28: 74 occurrences found in 0,036769 s
Single task: Run no. 29: 74 occurrences found in 0,036691 s
Single task: Run no. 30: 74 occurrences found in 0,036765 s
Single task: Run no. 31: 74 occurrences found in 0,036719 s
Single task: Run no. 32: 74 occurrences found in 0,036725 s
Single task: Run no. 33: 74 occurrences found in 0,036749 s
Single task: Run no. 34: 74 occurrences found in 0,036770 s
Single task: Run no. 35: 74 occurrences found in 0,036744 s
Single task: Run no. 36: 74 occurrences found in 0,036688 s
Single task: Run no. 37: 74 occurrences found in 0,036688 s
Single task: Run no. 38: 74 occurrences found in 0,036525 s
Single task: Run no. 39: 74 occurrences found in 0,035754 s
Single task: Run no. 40: 74 occurrences found in 0,035908 s
Single task: Run no. 41: 74 occurrences found in 0,035952 s
Single task: Run no. 42: 74 occurrences found in 0,035776 s
Single task: Run no. 43: 74 occurrences found in 0,035816 s
Single task: Run no. 44: 74 occurrences found in 0,035821 s
Single task: Run no. 45: 74 occurrences found in 0,035790 s
Single task: Run no. 46: 74 occurrences found in 0,035812 s
Single task: Run no. 47: 74 occurrences found in 0,035820 s
Single task: Run no. 48: 74 occurrences found in 0,035782 s
Single task: Run no. 49: 74 occurrences found in 0,036009 s
Single task: Run no. 50: 74 occurrences found in 0,035925 s
Single task: Run no. 51: 74 occurrences found in 0,035879 s
Single task: Run no. 52: 74 occurrences found in 0,036026 s
Single task: Run no. 53: 74 occurrences found in 0,035933 s
Single task: Run no. 54: 74 occurrences found in 0,035811 s
Single task: Run no. 55: 74 occurrences found in 0,035963 s
Single task: Run no. 56: 74 occurrences found in 0,035794 s
Single task: Run no. 57: 74 occurrences found in 0,035737 s
Single task: Run no. 58: 74 occurrences found in 0,035713 s
Single task: Run no. 59: 74 occurrences found in 0,035719 s
Single task: Run no. 60: 74 occurrences found in 0,035713 s
Single task: Run no. 61: 74 occurrences found in 0,035725 s
Single task: Run no. 62: 74 occurrences found in 0,035734 s
Single task: Run no. 63: 74 occurrences found in 0,035730 s
Single task: Run no. 64: 74 occurrences found in 0,035729 s
Single task: Run no. 65: 74 occurrences found in 0,035743 s
Single task: Run no. 66: 74 occurrences found in 0,035912 s
Single task: Run no. 67: 74 occurrences found in 0,035793 s
Single task: Run no. 68: 74 occurrences found in 0,036124 s
Single task: Run no. 69: 74 occurrences found in 0,035912 s
Single task: Run no. 70: 74 occurrences found in 0,035839 s
Single task: Run no. 71: 74 occurrences found in 0,036304 s
Single task: Run no. 72: 74 occurrences found in 0,035784 s
Single task: Run no. 73: 74 occurrences found in 0,035761 s
Single task: Run no. 74: 74 occurrences found in 0,035890 s
Single task: Run no. 75: 74 occurrences found in 0,036012 s
Single task: Run no. 76: 74 occurrences found in 0,035932 s
Single task: Run no. 77: 74 occurrences found in 0,035814 s
Single task: Run no. 78: 74 occurrences found in 0,036323 s
Single task: Run no. 79: 74 occurrences found in 0,035956 s
Single task: Run no. 80: 74 occurrences found in 0,035842 s
Single task: Run no. 81: 74 occurrences found in 0,036613 s
Single task: Run no. 82: 74 occurrences found in 0,035681 s
Single task: Run no. 83: 74 occurrences found in 0,035760 s
Single task: Run no. 84: 74 occurrences found in 0,035756 s
Single task: Run no. 85: 74 occurrences found in 0,036059 s
Single task: Run no. 86: 74 occurrences found in 0,035808 s
Single task: Run no. 87: 74 occurrences found in 0,035784 s
Single task: Run no. 88: 74 occurrences found in 0,035750 s
Single task: Run no. 89: 74 occurrences found in 0,035753 s
Single task: Run no. 90: 74 occurrences found in 0,035750 s
Single task: Run no. 91: 74 occurrences found in 0,035770 s
Single task: Run no. 92: 74 occurrences found in 0,035674 s
Single task: Run no. 93: 74 occurrences found in 0,035816 s
Single task: Run no. 94: 74 occurrences found in 0,035923 s
Single task: Run no. 95: 74 occurrences found in 0,035767 s
Single task: Run no. 96: 74 occurrences found in 0,035774 s
Single task: Run no. 97: 74 occurrences found in 0,036114 s
Single task: Run no. 98: 74 occurrences found in 0,035731 s
Single task: Run no. 99: 74 occurrences found in 0,035780 s

Single task (avg.): 0,036231 s

Using 10 tasks: Run no.  0: 74 occurrences found in 0,035893 s
Using 10 tasks: Run no.  1: 74 occurrences found in 0,035947 s
Using 10 tasks: Run no.  2: 74 occurrences found in 0,035801 s
Using 10 tasks: Run no.  3: 74 occurrences found in 0,035836 s
Using 10 tasks: Run no.  4: 74 occurrences found in 0,035833 s
Using 10 tasks: Run no.  5: 74 occurrences found in 0,035804 s
