
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=100, nthreads=8, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036598 s
Single task: Run no.  1: 74 occurrences found in 0,037445 s
Single task: Run no.  2: 74 occurrences found in 0,036720 s
Single task: Run no.  3: 74 occurrences found in 0,036744 s
Single task: Run no.  4: 74 occurrences found in 0,055802 s
Single task: Run no.  5: 74 occurrences found in 0,036982 s
Single task: Run no.  6: 74 occurrences found in 0,036704 s
Single task: Run no.  7: 74 occurrences found in 0,036663 s
Single task: Run no.  8: 74 occurrences found in 0,036583 s
Single task: Run no.  9: 74 occurrences found in 0,039438 s
Single task: Run no. 10: 74 occurrences found in 0,038931 s
Single task: Run no. 11: 74 occurrences found in 0,037407 s
Single task: Run no. 12: 74 occurrences found in 0,036715 s
Single task: Run no. 13: 74 occurrences found in 0,036663 s
Single task: Run no. 14: 74 occurrences found in 0,038085 s
Single task: Run no. 15: 74 occurrences found in 0,038483 s
Single task: Run no. 16: 74 occurrences found in 0,036411 s
Single task: Run no. 17: 74 occurrences found in 0,036719 s
Single task: Run no. 18: 74 occurrences found in 0,036685 s
Single task: Run no. 19: 74 occurrences found in 0,036688 s
Single task: Run no. 20: 74 occurrences found in 0,037090 s
Single task: Run no. 21: 74 occurrences found in 0,036728 s
Single task: Run no. 22: 74 occurrences found in 0,036399 s
Single task: Run no. 23: 74 occurrences found in 0,036244 s
Single task: Run no. 24: 74 occurrences found in 0,036679 s
Single task: Run no. 25: 74 occurrences found in 0,036651 s
Single task: Run no. 26: 74 occurrences found in 0,036668 s
Single task: Run no. 27: 74 occurrences found in 0,036473 s
Single task: Run no. 28: 74 occurrences found in 0,036161 s
Single task: Run no. 29: 74 occurrences found in 0,036386 s
Single task: Run no. 30: 74 occurrences found in 0,036586 s
Single task: Run no. 31: 74 occurrences found in 0,036683 s
Single task: Run no. 32: 74 occurrences found in 0,036645 s
Single task: Run no. 33: 74 occurrences found in 0,036357 s
Single task: Run no. 34: 74 occurrences found in 0,036391 s
Single task: Run no. 35: 74 occurrences found in 0,036505 s
Single task: Run no. 36: 74 occurrences found in 0,036650 s
Single task: Run no. 37: 74 occurrences found in 0,036863 s
Single task: Run no. 38: 74 occurrences found in 0,036415 s
Single task: Run no. 39: 74 occurrences found in 0,035847 s
Single task: Run no. 40: 74 occurrences found in 0,035755 s
Single task: Run no. 41: 74 occurrences found in 0,035923 s
Single task: Run no. 42: 74 occurrences found in 0,035789 s
Single task: Run no. 43: 74 occurrences found in 0,035861 s
Single task: Run no. 44: 74 occurrences found in 0,035777 s
Single task: Run no. 45: 74 occurrences found in 0,035930 s
Single task: Run no. 46: 74 occurrences found in 0,035797 s
Single task: Run no. 47: 74 occurrences found in 0,035762 s
Single task: Run no. 48: 74 occurrences found in 0,035847 s
Single task: Run no. 49: 74 occurrences found in 0,035750 s
Single task: Run no. 50: 74 occurrences found in 0,035751 s
Single task: Run no. 51: 74 occurrences found in 0,035784 s
Single task: Run no. 52: 74 occurrences found in 0,035723 s
Single task: Run no. 53: 74 occurrences found in 0,035951 s
Single task: Run no. 54: 74 occurrences found in 0,036233 s
Single task: Run no. 55: 74 occurrences found in 0,035951 s
Single task: Run no. 56: 74 occurrences found in 0,035849 s
Single task: Run no. 57: 74 occurrences found in 0,035844 s
Single task: Run no. 58: 74 occurrences found in 0,035768 s
Single task: Run no. 59: 74 occurrences found in 0,035854 s
Single task: Run no. 60: 74 occurrences found in 0,035708 s
Single task: Run no. 61: 74 occurrences found in 0,035906 s
Single task: Run no. 62: 74 occurrences found in 0,035839 s
Single task: Run no. 63: 74 occurrences found in 0,035668 s
Single task: Run no. 64: 74 occurrences found in 0,035770 s
Single task: Run no. 65: 74 occurrences found in 0,035775 s
Single task: Run no. 66: 74 occurrences found in 0,035762 s
Single task: Run no. 67: 74 occurrences found in 0,035733 s
Single task: Run no. 68: 74 occurrences found in 0,035746 s
Single task: Run no. 69: 74 occurrences found in 0,036177 s
Single task: Run no. 70: 74 occurrences found in 0,035758 s
Single task: Run no. 71: 74 occurrences found in 0,035752 s
Single task: Run no. 72: 74 occurrences found in 0,035788 s
