
File=Chromosome.txt, pattern='ATATGTTTT'
Using 10 tasks: Run no. 10: 74 occurrences found in 0,018511 s
Using 10 tasks: Run no. 11: 74 occurrences found in 0,018483 s
Using 10 tasks: Run no. 12: 74 occurrences found in 0,018406 s
Using 10 tasks: Run no. 13: 74 occurrences found in 0,018161 s
Using 10 tasks: Run no. 14: 74 occurrences found in 0,018061 s
Using 10 tasks: Run no. 15: 74 occurrences found in 0,018368 s
Using 10 tasks: Run no. 16: 74 occurrences found in 0,017958 s
Using 10 tasks: Run no. 17: 74 occurrences found in 0,018254 s
Using 10 tasks: Run no. 18: 74 occurrences found in 0,018577 s
Using 10 tasks: Run no. 19: 74 occurrences found in 0,017998 s
Using 10 tasks: Run no. 20: 74 occurrences found in 0,018175 s
Using 10 tasks: Run no. 21: 74 occurrences found in 0,018306 s
Using 10 tasks: Run no. 22: 74 occurrences found in 0,017910 s
Using 10 tasks: Run no. 23: 74 occurrences found in 0,018150 s
Using 10 tasks: Run no. 24: 74 occurrences found in 0,018253 s
Using 10 tasks: Run no. 25: 74 occurrences found in 0,018138 s
Using 10 tasks: Run no. 26: 74 occurrences found in 0,019002 s
Using 10 tasks: Run no. 27: 74 occurrences found in 0,017945 s
Using 10 tasks: Run no. 28: 74 occurrences found in 0,017953 s
Using 10 tasks: Run no. 29: 74 occurrences found in 0,017918 s
Using 10 tasks: Run no. 30: 74 occurrences found in 0,017907 s
Using 10 tasks: Run no. 31: 74 occurrences found in 0,018129 s
Using 10 tasks: Run no. 32: 74 occurrences found in 0,018594 s
Using 10 tasks: Run no. 33: 74 occurrences found in 0,018676 s
Using 10 tasks: Run no. 34: 74 occurrences found in 0,018580 s
Using 10 tasks: Run no. 35: 74 occurrences found in 0,018593 s
Using 10 tasks: Run no. 36: 74 occurrences found in 0,018546 s
Using 10 tasks: Run no. 37: 74 occurrences found in 0,018106 s
Using 10 tasks: Run no. 38: 74 occurrences found in 0,018196 s
Using 10 tasks: Run no. 39: 74 occurrences found in 0,018174 s
Using 10 tasks: Run no. 40: 74 occurrences found in 0,018139 s
Using 10 tasks: Run no. 41: 74 occurrences found in 0,018178 s
Using 10 tasks: Run no. 42: 74 occurrences found in 0,018191 s
Using 10 tasks: Run no. 43: 74 occurrences found in 0,018061 s
Using 10 tasks: Run no. 44: 74 occurrences found in 0,018305 s
Using 10 tasks: Run no. 45: 74 occurrences found in 0,018095 s
Using 10 tasks: Run no. 46: 74 occurrences found in 0,018026 s
Using 10 tasks: Run no. 47: 74 occurrences found in 0,017996 s
Using 10 tasks: Run no. 48: 74 occurrences found in 0,017903 s
Using 10 tasks: Run no. 49: 74 occurrences found in 0,018117 s
Using 10 tasks: Run no. 50: 74 occurrences found in 0,017986 s
Using 10 tasks: Run no. 51: 74 occurrences found in 0,017992 s
Using 10 tasks: Run no. 52: 74 occurrences found in 0,018284 s
Using 10 tasks: Run no. 53: 74 occurrences found in 0,018092 s
Using 10 tasks: Run no. 54: 74 occurrences found in 0,018002 s
Using 10 tasks: Run no. 55: 74 occurrences found in 0,018031 s
Using 10 tasks: Run no. 56: 74 occurrences found in 0,017975 s
Using 10 tasks: Run no. 57: 74 occurrences found in 0,017979 s
Using 10 tasks: Run no. 58: 74 occurrences found in 0,017996 s
Using 10 tasks: Run no. 59: 74 occurrences found in 0,018027 s
Using 10 tasks: Run no. 60: 74 occurrences found in 0,018199 s
Using 10 tasks: Run no. 61: 74 occurrences found in 0,018255 s
Using 10 tasks: Run no. 62: 74 occurrences found in 0,018625 s
Using 10 tasks: Run no. 63: 74 occurrences found in 0,018554 s
Using 10 tasks: Run no. 64: 74 occurrences found in 0,018309 s
Using 10 tasks: Run no. 65: 74 occurrences found in 0,018129 s
Using 10 tasks: Run no. 66: 74 occurrences found in 0,018010 s
Using 10 tasks: Run no. 67: 74 occurrences found in 0,018488 s
Using 10 tasks: Run no. 68: 74 occurrences found in 0,018479 s
Using 10 tasks: Run no. 69: 74 occurrences found in 0,018405 s
Using 10 tasks: Run no. 70: 74 occurrences found in 0,018402 s
Using 10 tasks: Run no. 71: 74 occurrences found in 0,018620 s
Using 10 tasks: Run no. 72: 74 occurrences found in 0,018236 s
Using 10 tasks: Run no. 73: 74 occurrences found in 0,018242 s
Using 10 tasks: Run no. 74: 74 occurrences found in 0,018065 s
Using 10 tasks: Run no. 75: 74 occurrences found in 0,018187 s
Using 10 tasks: Run no. 76: 74 occurrences found in 0,018058 s
Using 10 tasks: Run no. 77: 74 occurrences found in 0,018002 s
Using 10 tasks: Run no. 78: 74 occurrences found in 0,017911 s
Using 10 tasks: Run no. 79: 74 occurrences found in 0,018086 s
Using 10 tasks: Run no. 80: 74 occurrences found in 0,017993 s
Using 10 tasks: Run no. 81: 74 occurrences found in 0,018073 s
