
File=Chromosome.txt, pattern='A'
ntasks=100, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,034121 s
Single task: Run no.  1: 1251521 occurrences found in 0,155812 s
Single task: Run no.  2: 1251521 occurrences found in 0,034985 s
Single task: Run no.  3: 1251521 occurrences found in 0,034144 s
Single task: Run no.  4: 1251521 occurrences found in 0,159849 s
Single task: Run no.  5: 1251521 occurrences found in 0,034413 s
Single task: Run no.  6: 1251521 occurrences found in 0,033421 s
Single task: Run no.  7: 1251521 occurrences found in 0,239967 s
Single task: Run no.  8: 1251521 occurrences found in 0,051524 s
Single task: Run no.  9: 1251521 occurrences found in 0,050610 s
Single task: Run no. 10: 1251521 occurrences found in 0,050392 s
Single task: Run no. 11: 1251521 occurrences found in 0,253194 s
Single task: Run no. 12: 1251521 occurrences found in 0,034008 s
Single task: Run no. 13: 1251521 occurrences found in 0,034166 s
Single task: Run no. 14: 1251521 occurrences found in 0,034019 s
Single task: Run no. 15: 1251521 occurrences found in 0,236263 s
Single task: Run no. 16: 1251521 occurrences found in 0,034281 s
Single task: Run no. 17: 1251521 occurrences found in 0,034332 s
Single task: Run no. 18: 1251521 occurrences found in 0,034085 s
Single task: Run no. 19: 1251521 occurrences found in 0,237176 s
Single task: Run no. 20: 1251521 occurrences found in 0,033994 s
Single task: Run no. 21: 1251521 occurrences found in 0,033968 s
Single task: Run no. 22: 1251521 occurrences found in 0,033566 s
Single task: Run no. 23: 1251521 occurrences found in 0,331946 s
Single task: Run no. 24: 1251521 occurrences found in 0,050973 s
Single task: Run no. 25: 1251521 occurrences found in 0,050774 s
Single task: Run no. 26: 1251521 occurrences found in 0,050817 s
Single task: Run no. 27: 1251521 occurrences found in 0,161264 s
Single task: Run no. 28: 1251521 occurrences found in 0,035229 s
Single task: Run no. 29: 1251521 occurrences found in 0,033715 s
Single task: Run no. 30: 1251521 occurrences found in 0,033539 s
Single task: Run no. 31: 1251521 occurrences found in 0,033641 s
Single task: Run no. 32: 1251521 occurrences found in 0,160098 s
Single task: Run no. 33: 1251521 occurrences found in 0,034624 s
Single task: Run no. 34: 1251521 occurrences found in 0,033456 s
Single task: Run no. 35: 1251521 occurrences found in 0,033854 s
Single task: Run no. 36: 1251521 occurrences found in 0,034457 s
Single task: Run no. 37: 1251521 occurrences found in 0,233164 s
Single task: Run no. 38: 1251521 occurrences found in 0,034328 s
Single task: Run no. 39: 1251521 occurrences found in 0,033663 s
Single task: Run no. 40: 1251521 occurrences found in 0,034100 s
