
File=Chromosome.txt, pattern='A'
ntasks=10, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,033693 s
Single task: Run no.  1: 1251521 occurrences found in 0,159111 s
Single task: Run no.  2: 1251521 occurrences found in 0,034930 s
Single task: Run no.  3: 1251521 occurrences found in 0,033922 s
Single task: Run no.  4: 1251521 occurrences found in 0,168361 s
Single task: Run no.  5: 1251521 occurrences found in 0,034644 s
Single task: Run no.  6: 1251521 occurrences found in 0,034073 s
Single task: Run no.  7: 1251521 occurrences found in 0,204157 s
Single task: Run no.  8: 1251521 occurrences found in 0,052565 s
Single task: Run no.  9: 1251521 occurrences found in 0,051803 s
Single task: Run no. 10: 1251521 occurrences found in 0,051295 s
Single task: Run no. 11: 1251521 occurrences found in 0,327203 s
Single task: Run no. 12: 1251521 occurrences found in 0,034033 s
Single task: Run no. 13: 1251521 occurrences found in 0,033980 s
Single task: Run no. 14: 1251521 occurrences found in 0,033838 s
Single task: Run no. 15: 1251521 occurrences found in 0,251521 s
Single task: Run no. 16: 1251521 occurrences found in 0,034275 s
Single task: Run no. 17: 1251521 occurrences found in 0,034305 s
Single task: Run no. 18: 1251521 occurrences found in 0,034161 s
Single task: Run no. 19: 1251521 occurrences found in 0,251792 s
Single task: Run no. 20: 1251521 occurrences found in 0,033797 s
Single task: Run no. 21: 1251521 occurrences found in 0,033875 s
Single task: Run no. 22: 1251521 occurrences found in 0,033709 s
Single task: Run no. 23: 1251521 occurrences found in 0,226021 s
Single task: Run no. 24: 1251521 occurrences found in 0,050799 s
Single task: Run no. 25: 1251521 occurrences found in 0,050616 s
Single task: Run no. 26: 1251521 occurrences found in 0,050474 s
Single task: Run no. 27: 1251521 occurrences found in 0,179989 s
Single task: Run no. 28: 1251521 occurrences found in 0,035047 s
Single task: Run no. 29: 1251521 occurrences found in 0,033968 s
Single task: Run no. 30: 1251521 occurrences found in 0,033421 s
Single task: Run no. 31: 1251521 occurrences found in 0,034032 s
Single task: Run no. 32: 1251521 occurrences found in 0,192735 s
Single task: Run no. 33: 1251521 occurrences found in 0,034827 s
Single task: Run no. 34: 1251521 occurrences found in 0,033464 s
Single task: Run no. 35: 1251521 occurrences found in 0,033948 s
Single task: Run no. 36: 1251521 occurrences found in 0,034043 s
Single task: Run no. 37: 1251521 occurrences found in 0,187531 s
Single task: Run no. 38: 1251521 occurrences found in 0,034255 s
Single task: Run no. 39: 1251521 occurrences found in 0,034082 s
Single task: Run no. 40: 1251521 occurrences found in 0,033600 s
Single task: Run no. 41: 1251521 occurrences found in 0,163096 s
Single task: Run no. 42: 1251521 occurrences found in 0,051550 s
Single task: Run no. 43: 1251521 occurrences found in 0,050379 s
Single task: Run no. 44: 1251521 occurrences found in 0,051661 s
Single task: Run no. 45: 1251521 occurrences found in 0,051783 s
Single task: Run no. 46: 1251521 occurrences found in 0,186340 s
Single task: Run no. 47: 1251521 occurrences found in 0,035904 s
Single task: Run no. 48: 1251521 occurrences found in 0,034719 s
Single task: Run no. 49: 1251521 occurrences found in 0,034025 s
Single task: Run no. 50: 1251521 occurrences found in 0,034094 s
Single task: Run no. 51: 1251521 occurrences found in 0,132192 s
Single task: Run no. 52: 1251521 occurrences found in 0,034458 s
Single task: Run no. 53: 1251521 occurrences found in 0,033612 s
Single task: Run no. 54: 1251521 occurrences found in 0,033453 s
Single task: Run no. 55: 1251521 occurrences found in 0,033314 s
Single task: Run no. 56: 1251521 occurrences found in 0,189597 s
Single task: Run no. 57: 1251521 occurrences found in 0,034700 s
Single task: Run no. 58: 1251521 occurrences found in 0,033522 s
Single task: Run no. 59: 1251521 occurrences found in 0,033416 s
Single task: Run no. 60: 1251521 occurrences found in 0,034242 s
Single task: Run no. 61: 1251521 occurrences found in 0,192803 s
Single task: Run no. 62: 1251521 occurrences found in 0,052142 s
Single task: Run no. 63: 1251521 occurrences found in 0,050891 s
Single task: Run no. 64: 1251521 occurrences found in 0,051309 s
Single task: Run no. 65: 1251521 occurrences found in 0,051329 s
Single task: Run no. 66: 1251521 occurrences found in 0,188013 s
Single task: Run no. 67: 1251521 occurrences found in 0,034951 s
Single task: Run no. 68: 1251521 occurrences found in 0,034228 s
Single task: Run no. 69: 1251521 occurrences found in 0,033956 s
Single task: Run no. 70: 1251521 occurrences found in 0,034343 s
Single task: Run no. 71: 1251521 occurrences found in 0,034015 s
Single task: Run no. 72: 1251521 occurrences found in 0,183404 s
Single task: Run no. 73: 1251521 occurrences found in 0,034282 s
Single task: Run no. 74: 1251521 occurrences found in 0,033948 s
Single task: Run no. 75: 1251521 occurrences found in 0,034040 s
Single task: Run no. 76: 1251521 occurrences found in 0,033628 s
Single task: Run no. 77: 1251521 occurrences found in 0,166682 s
Single task: Run no. 78: 1251521 occurrences found in 0,034367 s
Single task: Run no. 79: 1251521 occurrences found in 0,033956 s
Single task: Run no. 80: 1251521 occurrences found in 0,034560 s
Single task: Run no. 81: 1251521 occurrences found in 0,033980 s
Single task: Run no. 82: 1251521 occurrences found in 0,276018 s
Single task: Run no. 83: 1251521 occurrences found in 0,051424 s
Single task: Run no. 84: 1251521 occurrences found in 0,050831 s
Single task: Run no. 85: 1251521 occurrences found in 0,045987 s
Single task: Run no. 86: 1251521 occurrences found in 0,033497 s
Single task: Run no. 87: 1251521 occurrences found in 0,130971 s
Single task: Run no. 88: 1251521 occurrences found in 0,034887 s
Single task: Run no. 89: 1251521 occurrences found in 0,034071 s
Single task: Run no. 90: 1251521 occurrences found in 0,033655 s
Single task: Run no. 91: 1251521 occurrences found in 0,034000 s
Single task: Run no. 92: 1251521 occurrences found in 0,034221 s
Single task: Run no. 93: 1251521 occurrences found in 0,176709 s
Single task: Run no. 94: 1251521 occurrences found in 0,034571 s
Single task: Run no. 95: 1251521 occurrences found in 0,034097 s
Single task: Run no. 96: 1251521 occurrences found in 0,034323 s
Single task: Run no. 97: 1251521 occurrences found in 0,034388 s
Single task: Run no. 98: 1251521 occurrences found in 0,158857 s
Single task: Run no. 99: 1251521 occurrences found in 0,034295 s

Single task (avg.): 0,072416 s

Using 10 tasks: Run no.  0: 1251521 occurrences found in 0,054587 s
