
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=10, nthreads=4, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035864 s
Single task: Run no.  1: 74 occurrences found in 0,036610 s
Single task: Run no.  2: 74 occurrences found in 0,037398 s
Single task: Run no.  3: 74 occurrences found in 0,036779 s
Single task: Run no.  4: 74 occurrences found in 0,036882 s
Single task: Run no.  5: 74 occurrences found in 0,036706 s
Single task: Run no.  6: 74 occurrences found in 0,036660 s
Single task: Run no.  7: 74 occurrences found in 0,036657 s
Single task: Run no.  8: 74 occurrences found in 0,035869 s
Single task: Run no.  9: 74 occurrences found in 0,035784 s
Single task: Run no. 10: 74 occurrences found in 0,035853 s
Single task: Run no. 11: 74 occurrences found in 0,036846 s
Single task: Run no. 12: 74 occurrences found in 0,039369 s
Single task: Run no. 13: 74 occurrences found in 0,036712 s
Single task: Run no. 14: 74 occurrences found in 0,036895 s
Single task: Run no. 15: 74 occurrences found in 0,037667 s
Single task: Run no. 16: 74 occurrences found in 0,039708 s
Single task: Run no. 17: 74 occurrences found in 0,036287 s
Single task: Run no. 18: 74 occurrences found in 0,036695 s
Single task: Run no. 19: 74 occurrences found in 0,036794 s
Single task: Run no. 20: 74 occurrences found in 0,036837 s
Single task: Run no. 21: 74 occurrences found in 0,036693 s
Single task: Run no. 22: 74 occurrences found in 0,036743 s
Single task: Run no. 23: 74 occurrences found in 0,036703 s
Single task: Run no. 24: 74 occurrences found in 0,036654 s
Single task: Run no. 25: 74 occurrences found in 0,036637 s
Single task: Run no. 26: 74 occurrences found in 0,036962 s
Single task: Run no. 27: 74 occurrences found in 0,036780 s
Single task: Run no. 28: 74 occurrences found in 0,036721 s
Single task: Run no. 29: 74 occurrences found in 0,036733 s
Single task: Run no. 30: 74 occurrences found in 0,036674 s
Single task: Run no. 31: 74 occurrences found in 0,036681 s
Single task: Run no. 32: 74 occurrences found in 0,036701 s
Single task: Run no. 33: 74 occurrences found in 0,036663 s
Single task: Run no. 34: 74 occurrences found in 0,036694 s
Single task: Run no. 35: 74 occurrences found in 0,036699 s
Single task: Run no. 36: 74 occurrences found in 0,036719 s
Single task: Run no. 37: 74 occurrences found in 0,036690 s
Single task: Run no. 38: 74 occurrences found in 0,035993 s
Single task: Run no. 39: 74 occurrences found in 0,035799 s
Single task: Run no. 40: 74 occurrences found in 0,035885 s
Single task: Run no. 41: 74 occurrences found in 0,035821 s
Single task: Run no. 42: 74 occurrences found in 0,036041 s
Single task: Run no. 43: 74 occurrences found in 0,035810 s
Single task: Run no. 44: 74 occurrences found in 0,035933 s
Single task: Run no. 45: 74 occurrences found in 0,035804 s
Single task: Run no. 46: 74 occurrences found in 0,035850 s
Single task: Run no. 47: 74 occurrences found in 0,035931 s
Single task: Run no. 48: 74 occurrences found in 0,035831 s
Single task: Run no. 49: 74 occurrences found in 0,035845 s
Single task: Run no. 50: 74 occurrences found in 0,035770 s
Single task: Run no. 51: 74 occurrences found in 0,035814 s
Single task: Run no. 52: 74 occurrences found in 0,035715 s
Single task: Run no. 53: 74 occurrences found in 0,035762 s
Single task: Run no. 54: 74 occurrences found in 0,035879 s
Single task: Run no. 55: 74 occurrences found in 0,035773 s
Single task: Run no. 56: 74 occurrences found in 0,035756 s
Single task: Run no. 57: 74 occurrences found in 0,035844 s
Single task: Run no. 58: 74 occurrences found in 0,035982 s
Single task: Run no. 59: 74 occurrences found in 0,035971 s
Single task: Run no. 60: 74 occurrences found in 0,036122 s
