
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=19, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036122 s
Single task: Run no.  1: 74 occurrences found in 0,037531 s
Single task: Run no.  2: 74 occurrences found in 0,036618 s
Single task: Run no.  3: 74 occurrences found in 0,037201 s
Single task: Run no.  4: 74 occurrences found in 0,036859 s
Single task: Run no.  5: 74 occurrences found in 0,036990 s
Single task: Run no.  6: 74 occurrences found in 0,036786 s
Single task: Run no.  7: 74 occurrences found in 0,036683 s
Single task: Run no.  8: 74 occurrences found in 0,036972 s
Single task: Run no.  9: 74 occurrences found in 0,036277 s
Single task: Run no. 10: 74 occurrences found in 0,036358 s
Single task: Run no. 11: 74 occurrences found in 0,039998 s
Single task: Run no. 12: 74 occurrences found in 0,037193 s
Single task: Run no. 13: 74 occurrences found in 0,036660 s
Single task: Run no. 14: 74 occurrences found in 0,037169 s
Single task: Run no. 15: 74 occurrences found in 0,036797 s
Single task: Run no. 16: 74 occurrences found in 0,036656 s
Single task: Run no. 17: 74 occurrences found in 0,036621 s
Single task: Run no. 18: 74 occurrences found in 0,036976 s
Single task: Run no. 19: 74 occurrences found in 0,036661 s
Single task: Run no. 20: 74 occurrences found in 0,036704 s
Single task: Run no. 21: 74 occurrences found in 0,037012 s
Single task: Run no. 22: 74 occurrences found in 0,036605 s
Single task: Run no. 23: 74 occurrences found in 0,036622 s
Single task: Run no. 24: 74 occurrences found in 0,036659 s
Single task: Run no. 25: 74 occurrences found in 0,036648 s
Single task: Run no. 26: 74 occurrences found in 0,036760 s
Single task: Run no. 27: 74 occurrences found in 0,037235 s
Single task: Run no. 28: 74 occurrences found in 0,036625 s
Single task: Run no. 29: 74 occurrences found in 0,036623 s
Single task: Run no. 30: 74 occurrences found in 0,036717 s
Single task: Run no. 31: 74 occurrences found in 0,036610 s
Single task: Run no. 32: 74 occurrences found in 0,036620 s
Single task: Run no. 33: 74 occurrences found in 0,036695 s
Single task: Run no. 34: 74 occurrences found in 0,037017 s
Single task: Run no. 35: 74 occurrences found in 0,037103 s
Single task: Run no. 36: 74 occurrences found in 0,036699 s
Single task: Run no. 37: 74 occurrences found in 0,036676 s
Single task: Run no. 38: 74 occurrences found in 0,036915 s
Single task: Run no. 39: 74 occurrences found in 0,036652 s
