
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=7, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035907 s
Single task: Run no.  1: 74 occurrences found in 0,036318 s
Single task: Run no.  2: 74 occurrences found in 0,036950 s
Single task: Run no.  3: 74 occurrences found in 0,036540 s
Single task: Run no.  4: 74 occurrences found in 0,037304 s
Single task: Run no.  5: 74 occurrences found in 0,037149 s
Single task: Run no.  6: 74 occurrences found in 0,036265 s
Single task: Run no.  7: 74 occurrences found in 0,035705 s
Single task: Run no.  8: 74 occurrences found in 0,036090 s
Single task: Run no.  9: 74 occurrences found in 0,035769 s
Single task: Run no. 10: 74 occurrences found in 0,035781 s
Single task: Run no. 11: 74 occurrences found in 0,037842 s
Single task: Run no. 12: 74 occurrences found in 0,039163 s
Single task: Run no. 13: 74 occurrences found in 0,035745 s
Single task: Run no. 14: 74 occurrences found in 0,036615 s
Single task: Run no. 15: 74 occurrences found in 0,036719 s
Single task: Run no. 16: 74 occurrences found in 0,036986 s
Single task: Run no. 17: 74 occurrences found in 0,036845 s
Single task: Run no. 18: 74 occurrences found in 0,036732 s
Single task: Run no. 19: 74 occurrences found in 0,036638 s
Single task: Run no. 20: 74 occurrences found in 0,036653 s
Single task: Run no. 21: 74 occurrences found in 0,036647 s
Single task: Run no. 22: 74 occurrences found in 0,036640 s
Single task: Run no. 23: 74 occurrences found in 0,036634 s
Single task: Run no. 24: 74 occurrences found in 0,036698 s
Single task: Run no. 25: 74 occurrences found in 0,036628 s
Single task: Run no. 26: 74 occurrences found in 0,036836 s
Single task: Run no. 27: 74 occurrences found in 0,037050 s
Single task: Run no. 28: 74 occurrences found in 0,036664 s
Single task: Run no. 29: 74 occurrences found in 0,036618 s
Single task: Run no. 30: 74 occurrences found in 0,036506 s
Single task: Run no. 31: 74 occurrences found in 0,036177 s
Single task: Run no. 32: 74 occurrences found in 0,036381 s
Single task: Run no. 33: 74 occurrences found in 0,036853 s
Single task: Run no. 34: 74 occurrences found in 0,036643 s
Single task: Run no. 35: 74 occurrences found in 0,036715 s
Single task: Run no. 36: 74 occurrences found in 0,037425 s
Single task: Run no. 37: 74 occurrences found in 0,037081 s
Single task: Run no. 38: 74 occurrences found in 0,036391 s
Single task: Run no. 39: 74 occurrences found in 0,035916 s
Single task: Run no. 40: 74 occurrences found in 0,035967 s
Single task: Run no. 41: 74 occurrences found in 0,035953 s
Single task: Run no. 42: 74 occurrences found in 0,035988 s
Single task: Run no. 43: 74 occurrences found in 0,036097 s
Single task: Run no. 44: 74 occurrences found in 0,035763 s
Single task: Run no. 45: 74 occurrences found in 0,035782 s
Single task: Run no. 46: 74 occurrences found in 0,035971 s
Single task: Run no. 47: 74 occurrences found in 0,036132 s
Single task: Run no. 48: 74 occurrences found in 0,035871 s
Single task: Run no. 49: 74 occurrences found in 0,035759 s
Single task: Run no. 50: 74 occurrences found in 0,035773 s
Single task: Run no. 51: 74 occurrences found in 0,035762 s
Single task: Run no. 52: 74 occurrences found in 0,035870 s
Single task: Run no. 53: 74 occurrences found in 0,035819 s
Single task: Run no. 54: 74 occurrences found in 0,035903 s
Single task: Run no. 55: 74 occurrences found in 0,035778 s
Single task: Run no. 56: 74 occurrences found in 0,035852 s
Single task: Run no. 57: 74 occurrences found in 0,036098 s
Single task: Run no. 58: 74 occurrences found in 0,035802 s
Single task: Run no. 59: 74 occurrences found in 0,036172 s
Single task: Run no. 60: 74 occurrences found in 0,038034 s
Single task: Run no. 61: 74 occurrences found in 0,035822 s
Single task: Run no. 62: 74 occurrences found in 0,035740 s
Single task: Run no. 63: 74 occurrences found in 0,035794 s
Single task: Run no. 64: 74 occurrences found in 0,035889 s
Single task: Run no. 65: 74 occurrences found in 0,035770 s
Single task: Run no. 66: 74 occurrences found in 0,035915 s
