
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=400, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035761 s
Single task: Run no.  1: 74 occurrences found in 0,036892 s
Single task: Run no.  2: 74 occurrences found in 0,036915 s
Single task: Run no.  3: 74 occurrences found in 0,037168 s
Single task: Run no.  4: 74 occurrences found in 0,037241 s
Single task: Run no.  5: 74 occurrences found in 0,036521 s
Single task: Run no.  6: 74 occurrences found in 0,035916 s
Single task: Run no.  7: 74 occurrences found in 0,035753 s
Single task: Run no.  8: 74 occurrences found in 0,035716 s
Single task: Run no.  9: 74 occurrences found in 0,035896 s
Single task: Run no. 10: 74 occurrences found in 0,035785 s
Single task: Run no. 11: 74 occurrences found in 0,036638 s
Single task: Run no. 12: 74 occurrences found in 0,038527 s
Single task: Run no. 13: 74 occurrences found in 0,037888 s
Single task: Run no. 14: 74 occurrences found in 0,037438 s
Single task: Run no. 15: 74 occurrences found in 0,036742 s
Single task: Run no. 16: 74 occurrences found in 0,036895 s
Single task: Run no. 17: 74 occurrences found in 0,036235 s
Single task: Run no. 18: 74 occurrences found in 0,037026 s
Single task: Run no. 19: 74 occurrences found in 0,036652 s
Single task: Run no. 20: 74 occurrences found in 0,036644 s
Single task: Run no. 21: 74 occurrences found in 0,036634 s
Single task: Run no. 22: 74 occurrences found in 0,036597 s
Single task: Run no. 23: 74 occurrences found in 0,036900 s
Single task: Run no. 24: 74 occurrences found in 0,036615 s
Single task: Run no. 25: 74 occurrences found in 0,036888 s
Single task: Run no. 26: 74 occurrences found in 0,037299 s
Single task: Run no. 27: 74 occurrences found in 0,036770 s
Single task: Run no. 28: 74 occurrences found in 0,036650 s
Single task: Run no. 29: 74 occurrences found in 0,036661 s
Single task: Run no. 30: 74 occurrences found in 0,036648 s
Single task: Run no. 31: 74 occurrences found in 0,036656 s
Single task: Run no. 32: 74 occurrences found in 0,036402 s
Single task: Run no. 33: 74 occurrences found in 0,036367 s
Single task: Run no. 34: 74 occurrences found in 0,036205 s
Single task: Run no. 35: 74 occurrences found in 0,036523 s
Single task: Run no. 36: 74 occurrences found in 0,037478 s
Single task: Run no. 37: 74 occurrences found in 0,036605 s
Single task: Run no. 38: 74 occurrences found in 0,036078 s
Single task: Run no. 39: 74 occurrences found in 0,036003 s
Single task: Run no. 40: 74 occurrences found in 0,035814 s
Single task: Run no. 41: 74 occurrences found in 0,036004 s
Single task: Run no. 42: 74 occurrences found in 0,035938 s
Single task: Run no. 43: 74 occurrences found in 0,035756 s
Single task: Run no. 44: 74 occurrences found in 0,035872 s
Single task: Run no. 45: 74 occurrences found in 0,035824 s
Single task: Run no. 46: 74 occurrences found in 0,036049 s
Single task: Run no. 47: 74 occurrences found in 0,036010 s
Single task: Run no. 48: 74 occurrences found in 0,035908 s
Single task: Run no. 49: 74 occurrences found in 0,035707 s
Single task: Run no. 50: 74 occurrences found in 0,035740 s
Single task: Run no. 51: 74 occurrences found in 0,035800 s
Single task: Run no. 52: 74 occurrences found in 0,035718 s
Single task: Run no. 53: 74 occurrences found in 0,035740 s
Single task: Run no. 54: 74 occurrences found in 0,035854 s
Single task: Run no. 55: 74 occurrences found in 0,035732 s
Single task: Run no. 56: 74 occurrences found in 0,035874 s
Single task: Run no. 57: 74 occurrences found in 0,035853 s
Single task: Run no. 58: 74 occurrences found in 0,035798 s
Single task: Run no. 59: 74 occurrences found in 0,035842 s
Single task: Run no. 60: 74 occurrences found in 0,036107 s
Single task: Run no. 61: 74 occurrences found in 0,035762 s
Single task: Run no. 62: 74 occurrences found in 0,035753 s
Single task: Run no. 63: 74 occurrences found in 0,036025 s
Single task: Run no. 64: 74 occurrences found in 0,035786 s
