
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=6, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035916 s
Single task: Run no.  1: 74 occurrences found in 0,036475 s
Single task: Run no.  2: 74 occurrences found in 0,037280 s
Single task: Run no.  3: 74 occurrences found in 0,036820 s
Single task: Run no.  4: 74 occurrences found in 0,037152 s
Single task: Run no.  5: 74 occurrences found in 0,037056 s
Single task: Run no.  6: 74 occurrences found in 0,036939 s
Single task: Run no.  7: 74 occurrences found in 0,036611 s
Single task: Run no.  8: 74 occurrences found in 0,036751 s
Single task: Run no.  9: 74 occurrences found in 0,036639 s
Single task: Run no. 10: 74 occurrences found in 0,035961 s
Single task: Run no. 11: 74 occurrences found in 0,037505 s
Single task: Run no. 12: 74 occurrences found in 0,038876 s
Single task: Run no. 13: 74 occurrences found in 0,036632 s
Single task: Run no. 14: 74 occurrences found in 0,037348 s
Single task: Run no. 15: 74 occurrences found in 0,036618 s
Single task: Run no. 16: 74 occurrences found in 0,040181 s
Single task: Run no. 17: 74 occurrences found in 0,036505 s
Single task: Run no. 18: 74 occurrences found in 0,036778 s
Single task: Run no. 19: 74 occurrences found in 0,036720 s
Single task: Run no. 20: 74 occurrences found in 0,036700 s
Single task: Run no. 21: 74 occurrences found in 0,036657 s
Single task: Run no. 22: 74 occurrences found in 0,036659 s
Single task: Run no. 23: 74 occurrences found in 0,036659 s
Single task: Run no. 24: 74 occurrences found in 0,036673 s
Single task: Run no. 25: 74 occurrences found in 0,036758 s
Single task: Run no. 26: 74 occurrences found in 0,036741 s
Single task: Run no. 27: 74 occurrences found in 0,036790 s
Single task: Run no. 28: 74 occurrences found in 0,036719 s
Single task: Run no. 29: 74 occurrences found in 0,036700 s
Single task: Run no. 30: 74 occurrences found in 0,036770 s
Single task: Run no. 31: 74 occurrences found in 0,036643 s
Single task: Run no. 32: 74 occurrences found in 0,036757 s
Single task: Run no. 33: 74 occurrences found in 0,036794 s
Single task: Run no. 34: 74 occurrences found in 0,036484 s
Single task: Run no. 35: 74 occurrences found in 0,036178 s
Single task: Run no. 36: 74 occurrences found in 0,036247 s
Single task: Run no. 37: 74 occurrences found in 0,036253 s
Single task: Run no. 38: 74 occurrences found in 0,035864 s
Single task: Run no. 39: 74 occurrences found in 0,035929 s
Single task: Run no. 40: 74 occurrences found in 0,035763 s
Single task: Run no. 41: 74 occurrences found in 0,036027 s
Single task: Run no. 42: 74 occurrences found in 0,035965 s
Single task: Run no. 43: 74 occurrences found in 0,035738 s
Single task: Run no. 44: 74 occurrences found in 0,035926 s
Single task: Run no. 45: 74 occurrences found in 0,035686 s
Single task: Run no. 46: 74 occurrences found in 0,035788 s
Single task: Run no. 47: 74 occurrences found in 0,035739 s
Single task: Run no. 48: 74 occurrences found in 0,035777 s
Single task: Run no. 49: 74 occurrences found in 0,035784 s
Single task: Run no. 50: 74 occurrences found in 0,035819 s
Single task: Run no. 51: 74 occurrences found in 0,035876 s
Single task: Run no. 52: 74 occurrences found in 0,035762 s
Single task: Run no. 53: 74 occurrences found in 0,035809 s
Single task: Run no. 54: 74 occurrences found in 0,035875 s
Single task: Run no. 55: 74 occurrences found in 0,035861 s
Single task: Run no. 56: 74 occurrences found in 0,035825 s
Single task: Run no. 57: 74 occurrences found in 0,035984 s
Single task: Run no. 58: 74 occurrences found in 0,035932 s
Single task: Run no. 59: 74 occurrences found in 0,035800 s
Single task: Run no. 60: 74 occurrences found in 0,035852 s
Single task: Run no. 61: 74 occurrences found in 0,035784 s
Single task: Run no. 62: 74 occurrences found in 0,035743 s
Single task: Run no. 63: 74 occurrences found in 0,035741 s
Single task: Run no. 64: 74 occurrences found in 0,035781 s
Single task: Run no. 65: 74 occurrences found in 0,036067 s
Single task: Run no. 66: 74 occurrences found in 0,035818 s
Single task: Run no. 67: 74 occurrences found in 0,035785 s
Single task: Run no. 68: 74 occurrences found in 0,035928 s
Single task: Run no. 69: 74 occurrences found in 0,036076 s
Single task: Run no. 70: 74 occurrences found in 0,036024 s
Single task: Run no. 71: 74 occurrences found in 0,035889 s
Single task: Run no. 72: 74 occurrences found in 0,035858 s
Single task: Run no. 73: 74 occurrences found in 0,035914 s
Single task: Run no. 74: 74 occurrences found in 0,035755 s
Single task: Run no. 75: 74 occurrences found in 0,035760 s
Single task: Run no. 76: 74 occurrences found in 0,035873 s
Single task: Run no. 77: 74 occurrences found in 0,035792 s
Single task: Run no. 78: 74 occurrences found in 0,035796 s
Single task: Run no. 79: 74 occurrences found in 0,035921 s
Single task: Run no. 80: 74 occurrences found in 0,035877 s
Single task: Run no. 81: 74 occurrences found in 0,035816 s
Single task: Run no. 82: 74 occurrences found in 0,035860 s
Single task: Run no. 83: 74 occurrences found in 0,035760 s
Single task: Run no. 84: 74 occurrences found in 0,035959 s
Single task: Run no. 85: 74 occurrences found in 0,035748 s
Single task: Run no. 86: 74 occurrences found in 0,035748 s
Single task: Run no. 87: 74 occurrences found in 0,035739 s
Single task: Run no. 88: 74 occurrences found in 0,035713 s
Single task: Run no. 89: 74 occurrences found in 0,035727 s
Single task: Run no. 90: 74 occurrences found in 0,035829 s
Single task: Run no. 91: 74 occurrences found in 0,035663 s
Single task: Run no. 92: 74 occurrences found in 0,035827 s
Single task: Run no. 93: 74 occurrences found in 0,035829 s
Single task: Run no. 94: 74 occurrences found in 0,035773 s
Single task: Run no. 95: 74 occurrences found in 0,035799 s
Single task: Run no. 96: 74 occurrences found in 0,035793 s
Single task: Run no. 97: 74 occurrences found in 0,035925 s
Single task: Run no. 98: 74 occurrences found in 0,036218 s
Single task: Run no. 99: 74 occurrences found in 0,038639 s

Single task (avg.): 0,036249 s

Using  6 tasks: Run no.  0: 74 occurrences found in 0,006413 s
Using  6 tasks: Run no.  1: 74 occurrences found in 0,006233 s
Using  6 tasks: Run no.  2: 74 occurrences found in 0,006273 s
Using  6 tasks: Run no.  3: 74 occurrences found in 0,006593 s
Using  6 tasks: Run no.  4: 74 occurrences found in 0,007672 s
Using  6 tasks: Run no.  5: 74 occurrences found in 0,006462 s
Using  6 tasks: Run no.  6: 74 occurrences found in 0,006278 s
Using  6 tasks: Run no.  7: 74 occurrences found in 0,006228 s
Using  6 tasks: Run no.  8: 74 occurrences found in 0,006331 s
Using  6 tasks: Run no.  9: 74 occurrences found in 0,006222 s
Using  6 tasks: Run no. 10: 74 occurrences found in 0,006167 s
Using  6 tasks: Run no. 11: 74 occurrences found in 0,006204 s
Using  6 tasks: Run no. 12: 74 occurrences found in 0,006184 s
Using  6 tasks: Run no. 13: 74 occurrences found in 0,006437 s
Using  6 tasks: Run no. 14: 74 occurrences found in 0,006780 s
Using  6 tasks: Run no. 15: 74 occurrences found in 0,007234 s
Using  6 tasks: Run no. 16: 74 occurrences found in 0,006290 s
Using  6 tasks: Run no. 17: 74 occurrences found in 0,010260 s
Using  6 tasks: Run no. 18: 74 occurrences found in 0,006791 s
Using  6 tasks: Run no. 19: 74 occurrences found in 0,006173 s
Using  6 tasks: Run no. 20: 74 occurrences found in 0,006183 s
Using  6 tasks: Run no. 21: 74 occurrences found in 0,006357 s
Using  6 tasks: Run no. 22: 74 occurrences found in 0,006176 s
Using  6 tasks: Run no. 23: 74 occurrences found in 0,006317 s
Using  6 tasks: Run no. 24: 74 occurrences found in 0,006189 s
