
File=Chromosome.txt, pattern='ATATGTTTT'
Using 10000 tasks: Run no.  9: 74 occurrences found in 0,017417 s
Using 10000 tasks: Run no. 10: 74 occurrences found in 0,019601 s
Using 10000 tasks: Run no. 11: 74 occurrences found in 0,017330 s
Using 10000 tasks: Run no. 12: 74 occurrences found in 0,017417 s
Using 10000 tasks: Run no. 13: 74 occurrences found in 0,017710 s
Using 10000 tasks: Run no. 14: 74 occurrences found in 0,017073 s
Using 10000 tasks: Run no. 15: 74 occurrences found in 0,017233 s
Using 10000 tasks: Run no. 16: 74 occurrences found in 0,017344 s
Using 10000 tasks: Run no. 17: 74 occurrences found in 0,018056 s
Using 10000 tasks: Run no. 18: 74 occurrences found in 0,017411 s
Using 10000 tasks: Run no. 19: 74 occurrences found in 0,017025 s
Using 10000 tasks: Run no. 20: 74 occurrences found in 0,016728 s
Using 10000 tasks: Run no. 21: 74 occurrences found in 0,016786 s
Using 10000 tasks: Run no. 22: 74 occurrences found in 0,016906 s
Using 10000 tasks: Run no. 23: 74 occurrences found in 0,017190 s
Using 10000 tasks: Run no. 24: 74 occurrences found in 0,017152 s
Using 10000 tasks: Run no. 25: 74 occurrences found in 0,018837 s
Using 10000 tasks: Run no. 26: 74 occurrences found in 0,016894 s
Using 10000 tasks: Run no. 27: 74 occurrences found in 0,016018 s
Using 10000 tasks: Run no. 28: 74 occurrences found in 0,016178 s
Using 10000 tasks: Run no. 29: 74 occurrences found in 0,025009 s
Using 10000 tasks: Run no. 30: 74 occurrences found in 0,017150 s
Using 10000 tasks: Run no. 31: 74 occurrences found in 0,017740 s
Using 10000 tasks: Run no. 32: 74 occurrences found in 0,017419 s
Using 10000 tasks: Run no. 33: 74 occurrences found in 0,017770 s
Using 10000 tasks: Run no. 34: 74 occurrences found in 0,017364 s
Using 10000 tasks: Run no. 35: 74 occurrences found in 0,017507 s
Using 10000 tasks: Run no. 36: 74 occurrences found in 0,017722 s
Using 10000 tasks: Run no. 37: 74 occurrences found in 0,017376 s
Using 10000 tasks: Run no. 38: 74 occurrences found in 0,017490 s
Using 10000 tasks: Run no. 39: 74 occurrences found in 0,017480 s
Using 10000 tasks: Run no. 40: 74 occurrences found in 0,017464 s
Using 10000 tasks: Run no. 41: 74 occurrences found in 0,017234 s
Using 10000 tasks: Run no. 42: 74 occurrences found in 0,017332 s
Using 10000 tasks: Run no. 43: 74 occurrences found in 0,017233 s
Using 10000 tasks: Run no. 44: 74 occurrences found in 0,018281 s
Using 10000 tasks: Run no. 45: 74 occurrences found in 0,017264 s
Using 10000 tasks: Run no. 46: 74 occurrences found in 0,017359 s
Using 10000 tasks: Run no. 47: 74 occurrences found in 0,017283 s
Using 10000 tasks: Run no. 48: 74 occurrences found in 0,017448 s
Using 10000 tasks: Run no. 49: 74 occurrences found in 0,017297 s
Using 10000 tasks: Run no. 50: 74 occurrences found in 0,017354 s
Using 10000 tasks: Run no. 51: 74 occurrences found in 0,017312 s
Using 10000 tasks: Run no. 52: 74 occurrences found in 0,017309 s
Using 10000 tasks: Run no. 53: 74 occurrences found in 0,017340 s
Using 10000 tasks: Run no. 54: 74 occurrences found in 0,017294 s
Using 10000 tasks: Run no. 55: 74 occurrences found in 0,019223 s
Using 10000 tasks: Run no. 56: 74 occurrences found in 0,017464 s
Using 10000 tasks: Run no. 57: 74 occurrences found in 0,016572 s
Using 10000 tasks: Run no. 58: 74 occurrences found in 0,016248 s
Using 10000 tasks: Run no. 59: 74 occurrences found in 0,016451 s
Using 10000 tasks: Run no. 60: 74 occurrences found in 0,017105 s
Using 10000 tasks: Run no. 61: 74 occurrences found in 0,017336 s
Using 10000 tasks: Run no. 62: 74 occurrences found in 0,017144 s
Using 10000 tasks: Run no. 63: 74 occurrences found in 0,017236 s
Using 10000 tasks: Run no. 64: 74 occurrences found in 0,017174 s
Using 10000 tasks: Run no. 65: 74 occurrences found in 0,017450 s
Using 10000 tasks: Run no. 66: 74 occurrences found in 0,017341 s
Using 10000 tasks: Run no. 67: 74 occurrences found in 0,017519 s
Using 10000 tasks: Run no. 68: 74 occurrences found in 0,017502 s
Using 10000 tasks: Run no. 69: 74 occurrences found in 0,017661 s
Using 10000 tasks: Run no. 70: 74 occurrences found in 0,018127 s
Using 10000 tasks: Run no. 71: 74 occurrences found in 0,017114 s
Using 10000 tasks: Run no. 72: 74 occurrences found in 0,016983 s
Using 10000 tasks: Run no. 73: 74 occurrences found in 0,016975 s
Using 10000 tasks: Run no. 74: 74 occurrences found in 0,016974 s
Using 10000 tasks: Run no. 75: 74 occurrences found in 0,016771 s
Using 10000 tasks: Run no. 76: 74 occurrences found in 0,016818 s
Using 10000 tasks: Run no. 77: 74 occurrences found in 0,016721 s
Using 10000 tasks: Run no. 78: 74 occurrences found in 0,016717 s
Using 10000 tasks: Run no. 79: 74 occurrences found in 0,017332 s
Using 10000 tasks: Run no. 80: 74 occurrences found in 0,016940 s
Using 10000 tasks: Run no. 81: 74 occurrences found in 0,016860 s
Using 10000 tasks: Run no. 82: 74 occurrences found in 0,018961 s
Using 10000 tasks: Run no. 83: 74 occurrences found in 0,017015 s
Using 10000 tasks: Run no. 84: 74 occurrences found in 0,016323 s
Using 10000 tasks: Run no. 85: 74 occurrences found in 0,016812 s
Using 10000 tasks: Run no. 86: 74 occurrences found in 0,017853 s
Using 10000 tasks: Run no. 87: 74 occurrences found in 0,015661 s
Using 10000 tasks: Run no. 88: 74 occurrences found in 0,016408 s
Using 10000 tasks: Run no. 89: 74 occurrences found in 0,015286 s
Using 10000 tasks: Run no. 90: 74 occurrences found in 0,016438 s
Using 10000 tasks: Run no. 91: 74 occurrences found in 0,016176 s
Using 10000 tasks: Run no. 92: 74 occurrences found in 0,016813 s
Using 10000 tasks: Run no. 93: 74 occurrences found in 0,016318 s
Using 10000 tasks: Run no. 94: 74 occurrences found in 0,016596 s
Using 10000 tasks: Run no. 95: 74 occurrences found in 0,016383 s
Using 10000 tasks: Run no. 96: 74 occurrences found in 0,018606 s
Using 10000 tasks: Run no. 97: 74 occurrences found in 0,018861 s
Using 10000 tasks: Run no. 98: 74 occurrences found in 0,015309 s
Using 10000 tasks: Run no. 99: 74 occurrences found in 0,017575 s

Using 10000 tasks (avg.): 0,017968 s


Average speedup: 2,01

