
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=20, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036638 s
Single task: Run no.  1: 74 occurrences found in 0,036890 s
Single task: Run no.  2: 74 occurrences found in 0,036717 s
Single task: Run no.  3: 74 occurrences found in 0,036816 s
Single task: Run no.  4: 74 occurrences found in 0,036711 s
Single task: Run no.  5: 74 occurrences found in 0,037403 s
Single task: Run no.  6: 74 occurrences found in 0,036925 s
Single task: Run no.  7: 74 occurrences found in 0,036722 s
Single task: Run no.  8: 74 occurrences found in 0,036624 s
Single task: Run no.  9: 74 occurrences found in 0,036700 s
Single task: Run no. 10: 74 occurrences found in 0,036064 s
Single task: Run no. 11: 74 occurrences found in 0,036131 s
Single task: Run no. 12: 74 occurrences found in 0,035858 s
Single task: Run no. 13: 74 occurrences found in 0,037085 s
Single task: Run no. 14: 74 occurrences found in 0,037040 s
Single task: Run no. 15: 74 occurrences found in 0,036681 s
Single task: Run no. 16: 74 occurrences found in 0,036601 s
Single task: Run no. 17: 74 occurrences found in 0,036748 s
Single task: Run no. 18: 74 occurrences found in 0,036807 s
Single task: Run no. 19: 74 occurrences found in 0,036698 s
Single task: Run no. 20: 74 occurrences found in 0,036665 s
Single task: Run no. 21: 74 occurrences found in 0,036854 s
Single task: Run no. 22: 74 occurrences found in 0,036681 s
Single task: Run no. 23: 74 occurrences found in 0,036738 s
Single task: Run no. 24: 74 occurrences found in 0,036658 s
Single task: Run no. 25: 74 occurrences found in 0,036640 s
Single task: Run no. 26: 74 occurrences found in 0,037172 s
Single task: Run no. 27: 74 occurrences found in 0,036770 s
Single task: Run no. 28: 74 occurrences found in 0,036871 s
Single task: Run no. 29: 74 occurrences found in 0,036691 s
Single task: Run no. 30: 74 occurrences found in 0,036946 s
Single task: Run no. 31: 74 occurrences found in 0,036645 s
Single task: Run no. 32: 74 occurrences found in 0,036923 s
Single task: Run no. 33: 74 occurrences found in 0,036658 s
Single task: Run no. 34: 74 occurrences found in 0,036678 s
Single task: Run no. 35: 74 occurrences found in 0,037371 s
Single task: Run no. 36: 74 occurrences found in 0,036639 s
Single task: Run no. 37: 74 occurrences found in 0,036887 s
Single task: Run no. 38: 74 occurrences found in 0,036860 s
Single task: Run no. 39: 74 occurrences found in 0,036593 s
Single task: Run no. 40: 74 occurrences found in 0,035911 s
Single task: Run no. 41: 74 occurrences found in 0,036114 s
Single task: Run no. 42: 74 occurrences found in 0,035847 s
Single task: Run no. 43: 74 occurrences found in 0,035761 s
Single task: Run no. 44: 74 occurrences found in 0,035816 s
Single task: Run no. 45: 74 occurrences found in 0,035793 s
Single task: Run no. 46: 74 occurrences found in 0,035982 s
Single task: Run no. 47: 74 occurrences found in 0,036011 s
Single task: Run no. 48: 74 occurrences found in 0,035813 s
Single task: Run no. 49: 74 occurrences found in 0,035796 s
Single task: Run no. 50: 74 occurrences found in 0,035789 s
Single task: Run no. 51: 74 occurrences found in 0,035765 s
Single task: Run no. 52: 74 occurrences found in 0,035751 s
Single task: Run no. 53: 74 occurrences found in 0,035788 s
Single task: Run no. 54: 74 occurrences found in 0,036066 s
Single task: Run no. 55: 74 occurrences found in 0,036192 s
Single task: Run no. 56: 74 occurrences found in 0,035738 s
Single task: Run no. 57: 74 occurrences found in 0,035845 s
Single task: Run no. 58: 74 occurrences found in 0,035896 s
Single task: Run no. 59: 74 occurrences found in 0,035812 s
Single task: Run no. 60: 74 occurrences found in 0,035944 s
Single task: Run no. 61: 74 occurrences found in 0,035732 s
Single task: Run no. 62: 74 occurrences found in 0,035799 s
Single task: Run no. 63: 74 occurrences found in 0,035959 s
Single task: Run no. 64: 74 occurrences found in 0,035916 s
Single task: Run no. 65: 74 occurrences found in 0,035821 s
Single task: Run no. 66: 74 occurrences found in 0,035819 s
Single task: Run no. 67: 74 occurrences found in 0,035859 s
Single task: Run no. 68: 74 occurrences found in 0,035777 s
Single task: Run no. 69: 74 occurrences found in 0,035916 s
Single task: Run no. 70: 74 occurrences found in 0,035868 s
Single task: Run no. 71: 74 occurrences found in 0,035779 s
Single task: Run no. 72: 74 occurrences found in 0,036000 s
Single task: Run no. 73: 74 occurrences found in 0,035839 s
Single task: Run no. 74: 74 occurrences found in 0,035728 s
Single task: Run no. 75: 74 occurrences found in 0,035795 s
Single task: Run no. 76: 74 occurrences found in 0,036019 s
Single task: Run no. 77: 74 occurrences found in 0,035875 s
Single task: Run no. 78: 74 occurrences found in 0,035737 s
Single task: Run no. 79: 74 occurrences found in 0,035774 s
Single task: Run no. 80: 74 occurrences found in 0,035877 s
Single task: Run no. 81: 74 occurrences found in 0,035746 s
Single task: Run no. 82: 74 occurrences found in 0,036058 s
Single task: Run no. 83: 74 occurrences found in 0,035706 s
Single task: Run no. 84: 74 occurrences found in 0,035835 s
Single task: Run no. 85: 74 occurrences found in 0,035783 s
Single task: Run no. 86: 74 occurrences found in 0,035761 s
Single task: Run no. 87: 74 occurrences found in 0,036113 s
Single task: Run no. 88: 74 occurrences found in 0,035984 s
Single task: Run no. 89: 74 occurrences found in 0,035738 s
Single task: Run no. 90: 74 occurrences found in 0,035885 s
Single task: Run no. 91: 74 occurrences found in 0,035871 s
Single task: Run no. 92: 74 occurrences found in 0,035927 s
Single task: Run no. 93: 74 occurrences found in 0,035742 s
Single task: Run no. 94: 74 occurrences found in 0,035978 s
Single task: Run no. 95: 74 occurrences found in 0,035759 s
Single task: Run no. 96: 74 occurrences found in 0,035742 s
Single task: Run no. 97: 74 occurrences found in 0,036019 s
Single task: Run no. 98: 74 occurrences found in 0,035809 s
Single task: Run no. 99: 74 occurrences found in 0,035764 s

Single task (avg.): 0,036213 s

Using 20 tasks: Run no.  0: 74 occurrences found in 0,007726 s
Using 20 tasks: Run no.  1: 74 occurrences found in 0,007486 s
Using 20 tasks: Run no.  2: 74 occurrences found in 0,007505 s
Using 20 tasks: Run no.  3: 74 occurrences found in 0,007482 s
Using 20 tasks: Run no.  4: 74 occurrences found in 0,007480 s
Using 20 tasks: Run no.  5: 74 occurrences found in 0,007395 s
Using 20 tasks: Run no.  6: 74 occurrences found in 0,007197 s
Using 20 tasks: Run no.  7: 74 occurrences found in 0,007393 s
Using 20 tasks: Run no.  8: 74 occurrences found in 0,007380 s
Using 20 tasks: Run no.  9: 74 occurrences found in 0,007378 s
Using 20 tasks: Run no. 10: 74 occurrences found in 0,007385 s
Using 20 tasks: Run no. 11: 74 occurrences found in 0,007375 s
Using 20 tasks: Run no. 12: 74 occurrences found in 0,007391 s
Using 20 tasks: Run no. 13: 74 occurrences found in 0,007378 s
Using 20 tasks: Run no. 14: 74 occurrences found in 0,007369 s
Using 20 tasks: Run no. 15: 74 occurrences found in 0,007370 s
Using 20 tasks: Run no. 16: 74 occurrences found in 0,007371 s
Using 20 tasks: Run no. 17: 74 occurrences found in 0,007414 s
Using 20 tasks: Run no. 18: 74 occurrences found in 0,007370 s
Using 20 tasks: Run no. 19: 74 occurrences found in 0,007401 s
Using 20 tasks: Run no. 20: 74 occurrences found in 0,007392 s
Using 20 tasks: Run no. 21: 74 occurrences found in 0,007383 s
Using 20 tasks: Run no. 22: 74 occurrences found in 0,007367 s
Using 20 tasks: Run no. 23: 74 occurrences found in 0,007381 s
Using 20 tasks: Run no. 24: 74 occurrences found in 0,006539 s
Using 20 tasks: Run no. 25: 74 occurrences found in 0,007369 s
Using 20 tasks: Run no. 26: 74 occurrences found in 0,007362 s
Using 20 tasks: Run no. 27: 74 occurrences found in 0,007361 s
Using 20 tasks: Run no. 28: 74 occurrences found in 0,007376 s
Using 20 tasks: Run no. 29: 74 occurrences found in 0,007353 s
Using 20 tasks: Run no. 30: 74 occurrences found in 0,007391 s
Using 20 tasks: Run no. 31: 74 occurrences found in 0,007378 s
Using 20 tasks: Run no. 32: 74 occurrences found in 0,007430 s
Using 20 tasks: Run no. 33: 74 occurrences found in 0,007371 s
Using 20 tasks: Run no. 34: 74 occurrences found in 0,007371 s
Using 20 tasks: Run no. 35: 74 occurrences found in 0,007365 s
Using 20 tasks: Run no. 36: 74 occurrences found in 0,007389 s
Using 20 tasks: Run no. 37: 74 occurrences found in 0,007359 s
Using 20 tasks: Run no. 38: 74 occurrences found in 0,007365 s
Using 20 tasks: Run no. 39: 74 occurrences found in 0,007355 s
Using 20 tasks: Run no. 40: 74 occurrences found in 0,007405 s
Using 20 tasks: Run no. 41: 74 occurrences found in 0,007150 s
Using 20 tasks: Run no. 42: 74 occurrences found in 0,007366 s
Using 20 tasks: Run no. 43: 74 occurrences found in 0,007352 s
Using 20 tasks: Run no. 44: 74 occurrences found in 0,007385 s
Using 20 tasks: Run no. 45: 74 occurrences found in 0,007361 s
Using 20 tasks: Run no. 46: 74 occurrences found in 0,007366 s
Using 20 tasks: Run no. 47: 74 occurrences found in 0,007364 s
Using 20 tasks: Run no. 48: 74 occurrences found in 0,007383 s
Using 20 tasks: Run no. 49: 74 occurrences found in 0,007469 s
Using 20 tasks: Run no. 50: 74 occurrences found in 0,007487 s
Using 20 tasks: Run no. 51: 74 occurrences found in 0,007367 s
Using 20 tasks: Run no. 52: 74 occurrences found in 0,007365 s
Using 20 tasks: Run no. 53: 74 occurrences found in 0,007407 s
Using 20 tasks: Run no. 54: 74 occurrences found in 0,007366 s
Using 20 tasks: Run no. 55: 74 occurrences found in 0,007366 s
Using 20 tasks: Run no. 56: 74 occurrences found in 0,007368 s
Using 20 tasks: Run no. 57: 74 occurrences found in 0,007363 s
Using 20 tasks: Run no. 58: 74 occurrences found in 0,006605 s
Using 20 tasks: Run no. 59: 74 occurrences found in 0,007334 s
Using 20 tasks: Run no. 60: 74 occurrences found in 0,007365 s
Using 20 tasks: Run no. 61: 74 occurrences found in 0,007394 s
Using 20 tasks: Run no. 62: 74 occurrences found in 0,007358 s
Using 20 tasks: Run no. 63: 74 occurrences found in 0,007389 s
Using 20 tasks: Run no. 64: 74 occurrences found in 0,007366 s
Using 20 tasks: Run no. 65: 74 occurrences found in 0,007385 s
Using 20 tasks: Run no. 66: 74 occurrences found in 0,007360 s
Using 20 tasks: Run no. 67: 74 occurrences found in 0,007363 s
Using 20 tasks: Run no. 68: 74 occurrences found in 0,007358 s
Using 20 tasks: Run no. 69: 74 occurrences found in 0,007364 s
Using 20 tasks: Run no. 70: 74 occurrences found in 0,007356 s
Using 20 tasks: Run no. 71: 74 occurrences found in 0,007365 s
Using 20 tasks: Run no. 72: 74 occurrences found in 0,007376 s
Using 20 tasks: Run no. 73: 74 occurrences found in 0,007363 s
Using 20 tasks: Run no. 74: 74 occurrences found in 0,007371 s
Using 20 tasks: Run no. 75: 74 occurrences found in 0,007360 s
Using 20 tasks: Run no. 76: 74 occurrences found in 0,006971 s
Using 20 tasks: Run no. 77: 74 occurrences found in 0,007362 s
Using 20 tasks: Run no. 78: 74 occurrences found in 0,007382 s
Using 20 tasks: Run no. 79: 74 occurrences found in 0,007357 s
Using 20 tasks: Run no. 80: 74 occurrences found in 0,007423 s
Using 20 tasks: Run no. 81: 74 occurrences found in 0,007357 s
Using 20 tasks: Run no. 82: 74 occurrences found in 0,007382 s
Using 20 tasks: Run no. 83: 74 occurrences found in 0,007354 s
Using 20 tasks: Run no. 84: 74 occurrences found in 0,007366 s
Using 20 tasks: Run no. 85: 74 occurrences found in 0,007355 s
Using 20 tasks: Run no. 86: 74 occurrences found in 0,007520 s
Using 20 tasks: Run no. 87: 74 occurrences found in 0,007361 s
Using 20 tasks: Run no. 88: 74 occurrences found in 0,007360 s
Using 20 tasks: Run no. 89: 74 occurrences found in 0,007378 s
Using 20 tasks: Run no. 90: 74 occurrences found in 0,007363 s
Using 20 tasks: Run no. 91: 74 occurrences found in 0,007368 s
Using 20 tasks: Run no. 92: 74 occurrences found in 0,007362 s
Using 20 tasks: Run no. 93: 74 occurrences found in 0,006806 s
Using 20 tasks: Run no. 94: 74 occurrences found in 0,007369 s
Using 20 tasks: Run no. 95: 74 occurrences found in 0,007367 s
Using 20 tasks: Run no. 96: 74 occurrences found in 0,007369 s
Using 20 tasks: Run no. 97: 74 occurrences found in 0,007369 s
Using 20 tasks: Run no. 98: 74 occurrences found in 0,007361 s
Using 20 tasks: Run no. 99: 74 occurrences found in 0,007388 s

Using 20 tasks (avg.): 0,007355 s


Average speedup: 4,92

