
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=4, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035898 s
Single task: Run no.  1: 74 occurrences found in 0,036425 s
Single task: Run no.  2: 74 occurrences found in 0,037710 s
Single task: Run no.  3: 74 occurrences found in 0,036766 s
Single task: Run no.  4: 74 occurrences found in 0,037299 s
Single task: Run no.  5: 74 occurrences found in 0,036860 s
Single task: Run no.  6: 74 occurrences found in 0,037047 s
Single task: Run no.  7: 74 occurrences found in 0,036593 s
Single task: Run no.  8: 74 occurrences found in 0,036738 s
Single task: Run no.  9: 74 occurrences found in 0,035744 s
Single task: Run no. 10: 74 occurrences found in 0,035889 s
Single task: Run no. 11: 74 occurrences found in 0,038506 s
Single task: Run no. 12: 74 occurrences found in 0,038788 s
Single task: Run no. 13: 74 occurrences found in 0,036105 s
Single task: Run no. 14: 74 occurrences found in 0,036892 s
Single task: Run no. 15: 74 occurrences found in 0,036638 s
Single task: Run no. 16: 74 occurrences found in 0,037163 s
Single task: Run no. 17: 74 occurrences found in 0,036802 s
Single task: Run no. 18: 74 occurrences found in 0,036737 s
Single task: Run no. 19: 74 occurrences found in 0,036738 s
Single task: Run no. 20: 74 occurrences found in 0,036604 s
Single task: Run no. 21: 74 occurrences found in 0,036856 s
Single task: Run no. 22: 74 occurrences found in 0,036645 s
Single task: Run no. 23: 74 occurrences found in 0,036637 s
Single task: Run no. 24: 74 occurrences found in 0,036668 s
Single task: Run no. 25: 74 occurrences found in 0,036731 s
Single task: Run no. 26: 74 occurrences found in 0,036837 s
Single task: Run no. 27: 74 occurrences found in 0,036717 s
Single task: Run no. 28: 74 occurrences found in 0,037012 s
Single task: Run no. 29: 74 occurrences found in 0,036653 s
Single task: Run no. 30: 74 occurrences found in 0,036646 s
Single task: Run no. 31: 74 occurrences found in 0,036214 s
Single task: Run no. 32: 74 occurrences found in 0,036451 s
Single task: Run no. 33: 74 occurrences found in 0,036806 s
Single task: Run no. 34: 74 occurrences found in 0,036723 s
Single task: Run no. 35: 74 occurrences found in 0,036721 s
Single task: Run no. 36: 74 occurrences found in 0,036645 s
Single task: Run no. 37: 74 occurrences found in 0,037019 s
Single task: Run no. 38: 74 occurrences found in 0,036945 s
Single task: Run no. 39: 74 occurrences found in 0,036906 s
Single task: Run no. 40: 74 occurrences found in 0,036834 s
Single task: Run no. 41: 74 occurrences found in 0,036036 s
Single task: Run no. 42: 74 occurrences found in 0,035824 s
Single task: Run no. 43: 74 occurrences found in 0,036064 s
Single task: Run no. 44: 74 occurrences found in 0,035751 s
Single task: Run no. 45: 74 occurrences found in 0,035750 s
Single task: Run no. 46: 74 occurrences found in 0,035824 s
Single task: Run no. 47: 74 occurrences found in 0,035748 s
Single task: Run no. 48: 74 occurrences found in 0,036008 s
Single task: Run no. 49: 74 occurrences found in 0,035815 s
Single task: Run no. 50: 74 occurrences found in 0,035754 s
Single task: Run no. 51: 74 occurrences found in 0,035744 s
Single task: Run no. 52: 74 occurrences found in 0,035766 s
Single task: Run no. 53: 74 occurrences found in 0,036000 s
Single task: Run no. 54: 74 occurrences found in 0,036082 s
Single task: Run no. 55: 74 occurrences found in 0,035776 s
