
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=10, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035879 s
Single task: Run no.  1: 74 occurrences found in 0,037063 s
Single task: Run no.  2: 74 occurrences found in 0,037751 s
Single task: Run no.  3: 74 occurrences found in 0,036900 s
Single task: Run no.  4: 74 occurrences found in 0,037016 s
Single task: Run no.  5: 74 occurrences found in 0,037137 s
Single task: Run no.  6: 74 occurrences found in 0,036770 s
Single task: Run no.  7: 74 occurrences found in 0,036078 s
Single task: Run no.  8: 74 occurrences found in 0,035916 s
Single task: Run no.  9: 74 occurrences found in 0,035926 s
Single task: Run no. 10: 74 occurrences found in 0,035754 s
Single task: Run no. 11: 74 occurrences found in 0,037265 s
Single task: Run no. 12: 74 occurrences found in 0,038613 s
Single task: Run no. 13: 74 occurrences found in 0,036648 s
Single task: Run no. 14: 74 occurrences found in 0,037160 s
Single task: Run no. 15: 74 occurrences found in 0,036773 s
Single task: Run no. 16: 74 occurrences found in 0,037226 s
Single task: Run no. 17: 74 occurrences found in 0,036804 s
Single task: Run no. 18: 74 occurrences found in 0,036778 s
Single task: Run no. 19: 74 occurrences found in 0,036671 s
Single task: Run no. 20: 74 occurrences found in 0,037125 s
Single task: Run no. 21: 74 occurrences found in 0,036637 s
Single task: Run no. 22: 74 occurrences found in 0,036708 s
Single task: Run no. 23: 74 occurrences found in 0,036736 s
Single task: Run no. 24: 74 occurrences found in 0,036525 s
Single task: Run no. 25: 74 occurrences found in 0,036571 s
Single task: Run no. 26: 74 occurrences found in 0,036691 s
Single task: Run no. 27: 74 occurrences found in 0,036993 s
Single task: Run no. 28: 74 occurrences found in 0,036736 s
Single task: Run no. 29: 74 occurrences found in 0,036658 s
Single task: Run no. 30: 74 occurrences found in 0,036638 s
Single task: Run no. 31: 74 occurrences found in 0,036653 s
Single task: Run no. 32: 74 occurrences found in 0,036938 s
Single task: Run no. 33: 74 occurrences found in 0,036664 s
Single task: Run no. 34: 74 occurrences found in 0,036756 s
Single task: Run no. 35: 74 occurrences found in 0,036680 s
Single task: Run no. 36: 74 occurrences found in 0,036647 s
Single task: Run no. 37: 74 occurrences found in 0,037148 s
Single task: Run no. 38: 74 occurrences found in 0,036772 s
Single task: Run no. 39: 74 occurrences found in 0,036555 s
Single task: Run no. 40: 74 occurrences found in 0,035710 s
Single task: Run no. 41: 74 occurrences found in 0,036105 s
Single task: Run no. 42: 74 occurrences found in 0,035785 s
Single task: Run no. 43: 74 occurrences found in 0,035757 s
Single task: Run no. 44: 74 occurrences found in 0,035775 s
Single task: Run no. 45: 74 occurrences found in 0,035828 s
Single task: Run no. 46: 74 occurrences found in 0,036039 s
Single task: Run no. 47: 74 occurrences found in 0,035797 s
Single task: Run no. 48: 74 occurrences found in 0,035837 s
Single task: Run no. 49: 74 occurrences found in 0,035927 s
Single task: Run no. 50: 74 occurrences found in 0,035783 s
Single task: Run no. 51: 74 occurrences found in 0,035794 s
Single task: Run no. 52: 74 occurrences found in 0,035762 s
Single task: Run no. 53: 74 occurrences found in 0,035733 s
Single task: Run no. 54: 74 occurrences found in 0,035988 s
Single task: Run no. 55: 74 occurrences found in 0,035889 s
Single task: Run no. 56: 74 occurrences found in 0,035886 s
Single task: Run no. 57: 74 occurrences found in 0,036098 s
Single task: Run no. 58: 74 occurrences found in 0,036082 s
Single task: Run no. 59: 74 occurrences found in 0,035836 s
Single task: Run no. 60: 74 occurrences found in 0,035887 s
Single task: Run no. 61: 74 occurrences found in 0,035764 s
Single task: Run no. 62: 74 occurrences found in 0,035750 s
Single task: Run no. 63: 74 occurrences found in 0,035883 s
Single task: Run no. 64: 74 occurrences found in 0,035972 s
Single task: Run no. 65: 74 occurrences found in 0,035811 s
Single task: Run no. 66: 74 occurrences found in 0,035787 s
Single task: Run no. 67: 74 occurrences found in 0,035825 s
Single task: Run no. 68: 74 occurrences found in 0,035727 s
Single task: Run no. 69: 74 occurrences found in 0,035816 s
Single task: Run no. 70: 74 occurrences found in 0,035863 s
Single task: Run no. 71: 74 occurrences found in 0,035741 s
Single task: Run no. 72: 74 occurrences found in 0,035748 s
Single task: Run no. 73: 74 occurrences found in 0,035761 s
Single task: Run no. 74: 74 occurrences found in 0,035962 s
Single task: Run no. 75: 74 occurrences found in 0,035726 s
Single task: Run no. 76: 74 occurrences found in 0,035760 s
Single task: Run no. 77: 74 occurrences found in 0,035964 s
Single task: Run no. 78: 74 occurrences found in 0,035767 s
Single task: Run no. 79: 74 occurrences found in 0,035730 s
Single task: Run no. 80: 74 occurrences found in 0,035784 s
Single task: Run no. 81: 74 occurrences found in 0,035770 s
Single task: Run no. 82: 74 occurrences found in 0,035788 s
Single task: Run no. 83: 74 occurrences found in 0,035718 s
Single task: Run no. 84: 74 occurrences found in 0,035830 s
Single task: Run no. 85: 74 occurrences found in 0,035857 s
Single task: Run no. 86: 74 occurrences found in 0,035873 s
Single task: Run no. 87: 74 occurrences found in 0,035775 s
Single task: Run no. 88: 74 occurrences found in 0,035778 s
Single task: Run no. 89: 74 occurrences found in 0,035809 s
Single task: Run no. 90: 74 occurrences found in 0,035704 s
Single task: Run no. 91: 74 occurrences found in 0,035994 s
Single task: Run no. 92: 74 occurrences found in 0,036104 s
Single task: Run no. 93: 74 occurrences found in 0,035920 s
Single task: Run no. 94: 74 occurrences found in 0,035745 s
Single task: Run no. 95: 74 occurrences found in 0,035740 s
Single task: Run no. 96: 74 occurrences found in 0,035913 s
Single task: Run no. 97: 74 occurrences found in 0,035927 s
Single task: Run no. 98: 74 occurrences found in 0,035790 s
Single task: Run no. 99: 74 occurrences found in 0,035776 s

Single task (avg.): 0,036212 s

Using 10 tasks: Run no.  0: 74 occurrences found in 0,007526 s
Using 10 tasks: Run no.  1: 74 occurrences found in 0,007651 s
Using 10 tasks: Run no.  2: 74 occurrences found in 0,007431 s
Using 10 tasks: Run no.  3: 74 occurrences found in 0,007526 s
Using 10 tasks: Run no.  4: 74 occurrences found in 0,008008 s
Using 10 tasks: Run no.  5: 74 occurrences found in 0,007431 s
