
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=16, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035822 s
Single task: Run no.  1: 74 occurrences found in 0,036791 s
Single task: Run no.  2: 74 occurrences found in 0,036973 s
Single task: Run no.  3: 74 occurrences found in 0,037346 s
Single task: Run no.  4: 74 occurrences found in 0,037562 s
Single task: Run no.  5: 74 occurrences found in 0,037027 s
Single task: Run no.  6: 74 occurrences found in 0,036824 s
Single task: Run no.  7: 74 occurrences found in 0,035842 s
Single task: Run no.  8: 74 occurrences found in 0,035914 s
Single task: Run no.  9: 74 occurrences found in 0,035816 s
Single task: Run no. 10: 74 occurrences found in 0,035973 s
Single task: Run no. 11: 74 occurrences found in 0,036822 s
Single task: Run no. 12: 74 occurrences found in 0,039353 s
Single task: Run no. 13: 74 occurrences found in 0,035747 s
Single task: Run no. 14: 74 occurrences found in 0,036932 s
Single task: Run no. 15: 74 occurrences found in 0,036618 s
Single task: Run no. 16: 74 occurrences found in 0,037295 s
Single task: Run no. 17: 74 occurrences found in 0,036144 s
Single task: Run no. 18: 74 occurrences found in 0,036375 s
Single task: Run no. 19: 74 occurrences found in 0,036717 s
Single task: Run no. 20: 74 occurrences found in 0,036890 s
Single task: Run no. 21: 74 occurrences found in 0,036688 s
Single task: Run no. 22: 74 occurrences found in 0,036407 s
Single task: Run no. 23: 74 occurrences found in 0,036237 s
Single task: Run no. 24: 74 occurrences found in 0,036946 s
Single task: Run no. 25: 74 occurrences found in 0,036406 s
Single task: Run no. 26: 74 occurrences found in 0,037373 s
Single task: Run no. 27: 74 occurrences found in 0,036858 s
Single task: Run no. 28: 74 occurrences found in 0,037089 s
Single task: Run no. 29: 74 occurrences found in 0,036290 s
Single task: Run no. 30: 74 occurrences found in 0,036405 s
Single task: Run no. 31: 74 occurrences found in 0,036882 s
Single task: Run no. 32: 74 occurrences found in 0,037874 s
Single task: Run no. 33: 74 occurrences found in 0,036406 s
Single task: Run no. 34: 74 occurrences found in 0,036243 s
Single task: Run no. 35: 74 occurrences found in 0,036340 s
Single task: Run no. 36: 74 occurrences found in 0,036049 s
Single task: Run no. 37: 74 occurrences found in 0,036775 s
Single task: Run no. 38: 74 occurrences found in 0,036354 s
Single task: Run no. 39: 74 occurrences found in 0,035917 s
Single task: Run no. 40: 74 occurrences found in 0,035965 s
Single task: Run no. 41: 74 occurrences found in 0,036123 s
Single task: Run no. 42: 74 occurrences found in 0,035751 s
Single task: Run no. 43: 74 occurrences found in 0,035745 s
Single task: Run no. 44: 74 occurrences found in 0,035781 s
Single task: Run no. 45: 74 occurrences found in 0,036005 s
Single task: Run no. 46: 74 occurrences found in 0,036143 s
