
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=14, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035800 s
Single task: Run no.  1: 74 occurrences found in 0,036567 s
Single task: Run no.  2: 74 occurrences found in 0,036561 s
Single task: Run no.  3: 74 occurrences found in 0,036854 s
Single task: Run no.  4: 74 occurrences found in 0,037357 s
Single task: Run no.  5: 74 occurrences found in 0,037169 s
Single task: Run no.  6: 74 occurrences found in 0,036506 s
Single task: Run no.  7: 74 occurrences found in 0,035888 s
Single task: Run no.  8: 74 occurrences found in 0,035844 s
Single task: Run no.  9: 74 occurrences found in 0,035780 s
Single task: Run no. 10: 74 occurrences found in 0,035868 s
Single task: Run no. 11: 74 occurrences found in 0,037592 s
Single task: Run no. 12: 74 occurrences found in 0,036664 s
Single task: Run no. 13: 74 occurrences found in 0,036686 s
Single task: Run no. 14: 74 occurrences found in 0,036977 s
Single task: Run no. 15: 74 occurrences found in 0,036961 s
Single task: Run no. 16: 74 occurrences found in 0,036744 s
Single task: Run no. 17: 74 occurrences found in 0,036724 s
Single task: Run no. 18: 74 occurrences found in 0,036676 s
Single task: Run no. 19: 74 occurrences found in 0,036727 s
Single task: Run no. 20: 74 occurrences found in 0,036614 s
Single task: Run no. 21: 74 occurrences found in 0,036700 s
Single task: Run no. 22: 74 occurrences found in 0,036733 s
Single task: Run no. 23: 74 occurrences found in 0,036744 s
Single task: Run no. 24: 74 occurrences found in 0,036666 s
Single task: Run no. 25: 74 occurrences found in 0,036631 s
Single task: Run no. 26: 74 occurrences found in 0,036644 s
Single task: Run no. 27: 74 occurrences found in 0,036731 s
Single task: Run no. 28: 74 occurrences found in 0,036746 s
Single task: Run no. 29: 74 occurrences found in 0,036670 s
Single task: Run no. 30: 74 occurrences found in 0,036684 s
Single task: Run no. 31: 74 occurrences found in 0,036654 s
Single task: Run no. 32: 74 occurrences found in 0,036873 s
Single task: Run no. 33: 74 occurrences found in 0,036502 s
Single task: Run no. 34: 74 occurrences found in 0,036470 s
Single task: Run no. 35: 74 occurrences found in 0,036586 s
Single task: Run no. 36: 74 occurrences found in 0,036682 s
Single task: Run no. 37: 74 occurrences found in 0,036697 s
Single task: Run no. 38: 74 occurrences found in 0,036822 s
Single task: Run no. 39: 74 occurrences found in 0,035899 s
Single task: Run no. 40: 74 occurrences found in 0,036026 s
Single task: Run no. 41: 74 occurrences found in 0,036007 s
Single task: Run no. 42: 74 occurrences found in 0,035936 s
