
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=2, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,040316 s
Single task: Run no.  1: 74 occurrences found in 0,039576 s
Single task: Run no.  2: 74 occurrences found in 0,036968 s
Single task: Run no.  3: 74 occurrences found in 0,037123 s
Single task: Run no.  4: 74 occurrences found in 0,036923 s
Single task: Run no.  5: 74 occurrences found in 0,036670 s
Single task: Run no.  6: 74 occurrences found in 0,036787 s
Single task: Run no.  7: 74 occurrences found in 0,036112 s
Single task: Run no.  8: 74 occurrences found in 0,035904 s
Single task: Run no.  9: 74 occurrences found in 0,035815 s
Single task: Run no. 10: 74 occurrences found in 0,035827 s
Single task: Run no. 11: 74 occurrences found in 0,037593 s
Single task: Run no. 12: 74 occurrences found in 0,038668 s
Single task: Run no. 13: 74 occurrences found in 0,036646 s
Single task: Run no. 14: 74 occurrences found in 0,037509 s
Single task: Run no. 15: 74 occurrences found in 0,036969 s
Single task: Run no. 16: 74 occurrences found in 0,038960 s
Single task: Run no. 17: 74 occurrences found in 0,036325 s
Single task: Run no. 18: 74 occurrences found in 0,037225 s
Single task: Run no. 19: 74 occurrences found in 0,036720 s
Single task: Run no. 20: 74 occurrences found in 0,036978 s
Single task: Run no. 21: 74 occurrences found in 0,036691 s
Single task: Run no. 22: 74 occurrences found in 0,036643 s
Single task: Run no. 23: 74 occurrences found in 0,036632 s
Single task: Run no. 24: 74 occurrences found in 0,036656 s
Single task: Run no. 25: 74 occurrences found in 0,036665 s
Single task: Run no. 26: 74 occurrences found in 0,036763 s
Single task: Run no. 27: 74 occurrences found in 0,036686 s
Single task: Run no. 28: 74 occurrences found in 0,036730 s
Single task: Run no. 29: 74 occurrences found in 0,036815 s
Single task: Run no. 30: 74 occurrences found in 0,036648 s
Single task: Run no. 31: 74 occurrences found in 0,036730 s
Single task: Run no. 32: 74 occurrences found in 0,036822 s
Single task: Run no. 33: 74 occurrences found in 0,036623 s
Single task: Run no. 34: 74 occurrences found in 0,036680 s
Single task: Run no. 35: 74 occurrences found in 0,036649 s
Single task: Run no. 36: 74 occurrences found in 0,036623 s
Single task: Run no. 37: 74 occurrences found in 0,036993 s
Single task: Run no. 38: 74 occurrences found in 0,036756 s
Single task: Run no. 39: 74 occurrences found in 0,036594 s
Single task: Run no. 40: 74 occurrences found in 0,036227 s
