
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=120, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035847 s
Single task: Run no.  1: 74 occurrences found in 0,036349 s
Single task: Run no.  2: 74 occurrences found in 0,036938 s
Single task: Run no.  3: 74 occurrences found in 0,036577 s
Single task: Run no.  4: 74 occurrences found in 0,036785 s
Single task: Run no.  5: 74 occurrences found in 0,036925 s
Single task: Run no.  6: 74 occurrences found in 0,037020 s
Single task: Run no.  7: 74 occurrences found in 0,036624 s
Single task: Run no.  8: 74 occurrences found in 0,036382 s
Single task: Run no.  9: 74 occurrences found in 0,035899 s
Single task: Run no. 10: 74 occurrences found in 0,035753 s
Single task: Run no. 11: 74 occurrences found in 0,036907 s
Single task: Run no. 12: 74 occurrences found in 0,037425 s
Single task: Run no. 13: 74 occurrences found in 0,036487 s
Single task: Run no. 14: 74 occurrences found in 0,037319 s
Single task: Run no. 15: 74 occurrences found in 0,036697 s
Single task: Run no. 16: 74 occurrences found in 0,037034 s
Single task: Run no. 17: 74 occurrences found in 0,036270 s
Single task: Run no. 18: 74 occurrences found in 0,036358 s
Single task: Run no. 19: 74 occurrences found in 0,036207 s
Single task: Run no. 20: 74 occurrences found in 0,036087 s
Single task: Run no. 21: 74 occurrences found in 0,036242 s
Single task: Run no. 22: 74 occurrences found in 0,036686 s
Single task: Run no. 23: 74 occurrences found in 0,036592 s
Single task: Run no. 24: 74 occurrences found in 0,037258 s
Single task: Run no. 25: 74 occurrences found in 0,036623 s
Single task: Run no. 26: 74 occurrences found in 0,037259 s
Single task: Run no. 27: 74 occurrences found in 0,037015 s
Single task: Run no. 28: 74 occurrences found in 0,036319 s
Single task: Run no. 29: 74 occurrences found in 0,036252 s
Single task: Run no. 30: 74 occurrences found in 0,036232 s
Single task: Run no. 31: 74 occurrences found in 0,036278 s
Single task: Run no. 32: 74 occurrences found in 0,036853 s
Single task: Run no. 33: 74 occurrences found in 0,036279 s
Single task: Run no. 34: 74 occurrences found in 0,036230 s
Single task: Run no. 35: 74 occurrences found in 0,036187 s
Single task: Run no. 36: 74 occurrences found in 0,036516 s
Single task: Run no. 37: 74 occurrences found in 0,036846 s
Single task: Run no. 38: 74 occurrences found in 0,036047 s
Single task: Run no. 39: 74 occurrences found in 0,035770 s
Single task: Run no. 40: 74 occurrences found in 0,035887 s
Single task: Run no. 41: 74 occurrences found in 0,035792 s
Single task: Run no. 42: 74 occurrences found in 0,035902 s
Single task: Run no. 43: 74 occurrences found in 0,035890 s
Single task: Run no. 44: 74 occurrences found in 0,035740 s
Single task: Run no. 45: 74 occurrences found in 0,036221 s
