
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=100, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035753 s
Single task: Run no.  1: 74 occurrences found in 0,036989 s
Single task: Run no.  2: 74 occurrences found in 0,038129 s
Single task: Run no.  3: 74 occurrences found in 0,036632 s
Single task: Run no.  4: 74 occurrences found in 0,037780 s
Single task: Run no.  5: 74 occurrences found in 0,036762 s
Single task: Run no.  6: 74 occurrences found in 0,036880 s
Single task: Run no.  7: 74 occurrences found in 0,036605 s
Single task: Run no.  8: 74 occurrences found in 0,036149 s
Single task: Run no.  9: 74 occurrences found in 0,035848 s
Single task: Run no. 10: 74 occurrences found in 0,036070 s
Single task: Run no. 11: 74 occurrences found in 0,038086 s
Single task: Run no. 12: 74 occurrences found in 0,038409 s
Single task: Run no. 13: 74 occurrences found in 0,036201 s
Single task: Run no. 14: 74 occurrences found in 0,037361 s
Single task: Run no. 15: 74 occurrences found in 0,036630 s
Single task: Run no. 16: 74 occurrences found in 0,036556 s
Single task: Run no. 17: 74 occurrences found in 0,036303 s
Single task: Run no. 18: 74 occurrences found in 0,036865 s
Single task: Run no. 19: 74 occurrences found in 0,036710 s
Single task: Run no. 20: 74 occurrences found in 0,036692 s
Single task: Run no. 21: 74 occurrences found in 0,036773 s
Single task: Run no. 22: 74 occurrences found in 0,036627 s
Single task: Run no. 23: 74 occurrences found in 0,036655 s
Single task: Run no. 24: 74 occurrences found in 0,036637 s
Single task: Run no. 25: 74 occurrences found in 0,036649 s
Single task: Run no. 26: 74 occurrences found in 0,037070 s
Single task: Run no. 27: 74 occurrences found in 0,036511 s
Single task: Run no. 28: 74 occurrences found in 0,036320 s
Single task: Run no. 29: 74 occurrences found in 0,036565 s
Single task: Run no. 30: 74 occurrences found in 0,036642 s
Single task: Run no. 31: 74 occurrences found in 0,036631 s
Single task: Run no. 32: 74 occurrences found in 0,036638 s
Single task: Run no. 33: 74 occurrences found in 0,036621 s
Single task: Run no. 34: 74 occurrences found in 0,036649 s
Single task: Run no. 35: 74 occurrences found in 0,036609 s
Single task: Run no. 36: 74 occurrences found in 0,037258 s
Single task: Run no. 37: 74 occurrences found in 0,036899 s
Single task: Run no. 38: 74 occurrences found in 0,036767 s
Single task: Run no. 39: 74 occurrences found in 0,036727 s
Single task: Run no. 40: 74 occurrences found in 0,036434 s
Single task: Run no. 41: 74 occurrences found in 0,035979 s
Single task: Run no. 42: 74 occurrences found in 0,035943 s
Single task: Run no. 43: 74 occurrences found in 0,035766 s
