
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=15, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036272 s
Single task: Run no.  1: 74 occurrences found in 0,036893 s
Single task: Run no.  2: 74 occurrences found in 0,037245 s
Single task: Run no.  3: 74 occurrences found in 0,037051 s
Single task: Run no.  4: 74 occurrences found in 0,037641 s
Single task: Run no.  5: 74 occurrences found in 0,036752 s
Single task: Run no.  6: 74 occurrences found in 0,036938 s
Single task: Run no.  7: 74 occurrences found in 0,036616 s
Single task: Run no.  8: 74 occurrences found in 0,036836 s
Single task: Run no.  9: 74 occurrences found in 0,035900 s
Single task: Run no. 10: 74 occurrences found in 0,036679 s
Single task: Run no. 11: 74 occurrences found in 0,037080 s
Single task: Run no. 12: 74 occurrences found in 0,036641 s
Single task: Run no. 13: 74 occurrences found in 0,036593 s
Single task: Run no. 14: 74 occurrences found in 0,036879 s
Single task: Run no. 15: 74 occurrences found in 0,036827 s
Single task: Run no. 16: 74 occurrences found in 0,037287 s
Single task: Run no. 17: 74 occurrences found in 0,036637 s
Single task: Run no. 18: 74 occurrences found in 0,037303 s
Single task: Run no. 19: 74 occurrences found in 0,036515 s
Single task: Run no. 20: 74 occurrences found in 0,036624 s
Single task: Run no. 21: 74 occurrences found in 0,036635 s
Single task: Run no. 22: 74 occurrences found in 0,037022 s
Single task: Run no. 23: 74 occurrences found in 0,036640 s
Single task: Run no. 24: 74 occurrences found in 0,036663 s
Single task: Run no. 25: 74 occurrences found in 0,036764 s
Single task: Run no. 26: 74 occurrences found in 0,036602 s
Single task: Run no. 27: 74 occurrences found in 0,037122 s
Single task: Run no. 28: 74 occurrences found in 0,036891 s
Single task: Run no. 29: 74 occurrences found in 0,036675 s
Single task: Run no. 30: 74 occurrences found in 0,036653 s
Single task: Run no. 31: 74 occurrences found in 0,036959 s
Single task: Run no. 32: 74 occurrences found in 0,036990 s
Single task: Run no. 33: 74 occurrences found in 0,036178 s
Single task: Run no. 34: 74 occurrences found in 0,036379 s
Single task: Run no. 35: 74 occurrences found in 0,036355 s
Single task: Run no. 36: 74 occurrences found in 0,036658 s
Single task: Run no. 37: 74 occurrences found in 0,036878 s
Single task: Run no. 38: 74 occurrences found in 0,036565 s
Single task: Run no. 39: 74 occurrences found in 0,035894 s
Single task: Run no. 40: 74 occurrences found in 0,035949 s
Single task: Run no. 41: 74 occurrences found in 0,035873 s
Single task: Run no. 42: 74 occurrences found in 0,035936 s
Single task: Run no. 43: 74 occurrences found in 0,035758 s
Single task: Run no. 44: 74 occurrences found in 0,035759 s
Single task: Run no. 45: 74 occurrences found in 0,035800 s
Single task: Run no. 46: 74 occurrences found in 0,035756 s
Single task: Run no. 47: 74 occurrences found in 0,035898 s
Single task: Run no. 48: 74 occurrences found in 0,035751 s
Single task: Run no. 49: 74 occurrences found in 0,035811 s
Single task: Run no. 50: 74 occurrences found in 0,035786 s
Single task: Run no. 51: 74 occurrences found in 0,035765 s
Single task: Run no. 52: 74 occurrences found in 0,035818 s
Single task: Run no. 53: 74 occurrences found in 0,035840 s
Single task: Run no. 54: 74 occurrences found in 0,035893 s
Single task: Run no. 55: 74 occurrences found in 0,035806 s
Single task: Run no. 56: 74 occurrences found in 0,035834 s
Single task: Run no. 57: 74 occurrences found in 0,035899 s
Single task: Run no. 58: 74 occurrences found in 0,035815 s
Single task: Run no. 59: 74 occurrences found in 0,035862 s
Single task: Run no. 60: 74 occurrences found in 0,035794 s
Single task: Run no. 61: 74 occurrences found in 0,035782 s
Single task: Run no. 62: 74 occurrences found in 0,035879 s
Single task: Run no. 63: 74 occurrences found in 0,035736 s
Single task: Run no. 64: 74 occurrences found in 0,035744 s
Single task: Run no. 65: 74 occurrences found in 0,035843 s
Single task: Run no. 66: 74 occurrences found in 0,035898 s
Single task: Run no. 67: 74 occurrences found in 0,035986 s
Single task: Run no. 68: 74 occurrences found in 0,036005 s
Single task: Run no. 69: 74 occurrences found in 0,035816 s
Single task: Run no. 70: 74 occurrences found in 0,035886 s
Single task: Run no. 71: 74 occurrences found in 0,035790 s
