
File=Chromosome.txt, pattern='A'
ntasks=60, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,035087 s
Single task: Run no.  1: 1251521 occurrences found in 0,201940 s
Single task: Run no.  2: 1251521 occurrences found in 0,034089 s
Single task: Run no.  3: 1251521 occurrences found in 0,034233 s
Single task: Run no.  4: 1251521 occurrences found in 0,214144 s
Single task: Run no.  5: 1251521 occurrences found in 0,034146 s
Single task: Run no.  6: 1251521 occurrences found in 0,033897 s
Single task: Run no.  7: 1251521 occurrences found in 0,284223 s
Single task: Run no.  8: 1251521 occurrences found in 0,051098 s
Single task: Run no.  9: 1251521 occurrences found in 0,051261 s
Single task: Run no. 10: 1251521 occurrences found in 0,052101 s
Single task: Run no. 11: 1251521 occurrences found in 0,313463 s
Single task: Run no. 12: 1251521 occurrences found in 0,034587 s
Single task: Run no. 13: 1251521 occurrences found in 0,034039 s
Single task: Run no. 14: 1251521 occurrences found in 0,034603 s
Single task: Run no. 15: 1251521 occurrences found in 0,233881 s
Single task: Run no. 16: 1251521 occurrences found in 0,034029 s
Single task: Run no. 17: 1251521 occurrences found in 0,033987 s
Single task: Run no. 18: 1251521 occurrences found in 0,034036 s
Single task: Run no. 19: 1251521 occurrences found in 0,286524 s
Single task: Run no. 20: 1251521 occurrences found in 0,033959 s
Single task: Run no. 21: 1251521 occurrences found in 0,033667 s
Single task: Run no. 22: 1251521 occurrences found in 0,033525 s
Single task: Run no. 23: 1251521 occurrences found in 0,208603 s
Single task: Run no. 24: 1251521 occurrences found in 0,050887 s
Single task: Run no. 25: 1251521 occurrences found in 0,051179 s
Single task: Run no. 26: 1251521 occurrences found in 0,050966 s
Single task: Run no. 27: 1251521 occurrences found in 0,167644 s
Single task: Run no. 28: 1251521 occurrences found in 0,034621 s
Single task: Run no. 29: 1251521 occurrences found in 0,035027 s
Single task: Run no. 30: 1251521 occurrences found in 0,034286 s
Single task: Run no. 31: 1251521 occurrences found in 0,033995 s
Single task: Run no. 32: 1251521 occurrences found in 0,211157 s
Single task: Run no. 33: 1251521 occurrences found in 0,035040 s
Single task: Run no. 34: 1251521 occurrences found in 0,034166 s
Single task: Run no. 35: 1251521 occurrences found in 0,034048 s
Single task: Run no. 36: 1251521 occurrences found in 0,036871 s
Single task: Run no. 37: 1251521 occurrences found in 0,276644 s
Single task: Run no. 38: 1251521 occurrences found in 0,033899 s
Single task: Run no. 39: 1251521 occurrences found in 0,033946 s
Single task: Run no. 40: 1251521 occurrences found in 0,033984 s
Single task: Run no. 41: 1251521 occurrences found in 0,162350 s
Single task: Run no. 42: 1251521 occurrences found in 0,051893 s
Single task: Run no. 43: 1251521 occurrences found in 0,051058 s
Single task: Run no. 44: 1251521 occurrences found in 0,051116 s
Single task: Run no. 45: 1251521 occurrences found in 0,050492 s
Single task: Run no. 46: 1251521 occurrences found in 0,266806 s
Single task: Run no. 47: 1251521 occurrences found in 0,034293 s
Single task: Run no. 48: 1251521 occurrences found in 0,033829 s
Single task: Run no. 49: 1251521 occurrences found in 0,033653 s
Single task: Run no. 50: 1251521 occurrences found in 0,034037 s
Single task: Run no. 51: 1251521 occurrences found in 0,176372 s
