
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=18, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,036949 s
Single task: Run no.  1: 74 occurrences found in 0,037250 s
Single task: Run no.  2: 74 occurrences found in 0,037938 s
Single task: Run no.  3: 74 occurrences found in 0,036920 s
Single task: Run no.  4: 74 occurrences found in 0,036977 s
Single task: Run no.  5: 74 occurrences found in 0,037294 s
Single task: Run no.  6: 74 occurrences found in 0,036926 s
Single task: Run no.  7: 74 occurrences found in 0,037119 s
Single task: Run no.  8: 74 occurrences found in 0,036847 s
Single task: Run no.  9: 74 occurrences found in 0,036877 s
Single task: Run no. 10: 74 occurrences found in 0,036842 s
Single task: Run no. 11: 74 occurrences found in 0,036704 s
Single task: Run no. 12: 74 occurrences found in 0,036679 s
Single task: Run no. 13: 74 occurrences found in 0,036574 s
Single task: Run no. 14: 74 occurrences found in 0,036813 s
Single task: Run no. 15: 74 occurrences found in 0,036642 s
Single task: Run no. 16: 74 occurrences found in 0,036823 s
Single task: Run no. 17: 74 occurrences found in 0,036615 s
Single task: Run no. 18: 74 occurrences found in 0,036646 s
Single task: Run no. 19: 74 occurrences found in 0,036711 s
Single task: Run no. 20: 74 occurrences found in 0,036641 s
Single task: Run no. 21: 74 occurrences found in 0,036657 s
Single task: Run no. 22: 74 occurrences found in 0,036631 s
Single task: Run no. 23: 74 occurrences found in 0,036641 s
Single task: Run no. 24: 74 occurrences found in 0,036641 s
Single task: Run no. 25: 74 occurrences found in 0,036694 s
Single task: Run no. 26: 74 occurrences found in 0,036659 s
Single task: Run no. 27: 74 occurrences found in 0,036709 s
Single task: Run no. 28: 74 occurrences found in 0,036673 s
Single task: Run no. 29: 74 occurrences found in 0,036631 s
Single task: Run no. 30: 74 occurrences found in 0,036265 s
Single task: Run no. 31: 74 occurrences found in 0,036140 s
Single task: Run no. 32: 74 occurrences found in 0,036368 s
Single task: Run no. 33: 74 occurrences found in 0,036717 s
Single task: Run no. 34: 74 occurrences found in 0,036720 s
Single task: Run no. 35: 74 occurrences found in 0,036632 s
Single task: Run no. 36: 74 occurrences found in 0,036601 s
Single task: Run no. 37: 74 occurrences found in 0,036635 s
Single task: Run no. 38: 74 occurrences found in 0,036207 s
Single task: Run no. 39: 74 occurrences found in 0,036159 s
Single task: Run no. 40: 74 occurrences found in 0,035793 s
Single task: Run no. 41: 74 occurrences found in 0,035745 s
Single task: Run no. 42: 74 occurrences found in 0,035952 s
Single task: Run no. 43: 74 occurrences found in 0,035743 s
Single task: Run no. 44: 74 occurrences found in 0,035715 s
Single task: Run no. 45: 74 occurrences found in 0,035715 s
Single task: Run no. 46: 74 occurrences found in 0,035796 s
Single task: Run no. 47: 74 occurrences found in 0,035810 s
Single task: Run no. 48: 74 occurrences found in 0,035743 s
Single task: Run no. 49: 74 occurrences found in 0,035768 s
Single task: Run no. 50: 74 occurrences found in 0,035920 s
Single task: Run no. 51: 74 occurrences found in 0,035710 s
Single task: Run no. 52: 74 occurrences found in 0,035771 s
Single task: Run no. 53: 74 occurrences found in 0,035815 s
Single task: Run no. 54: 74 occurrences found in 0,035722 s
Single task: Run no. 55: 74 occurrences found in 0,035716 s
Single task: Run no. 56: 74 occurrences found in 0,035817 s
Single task: Run no. 57: 74 occurrences found in 0,035776 s
Single task: Run no. 58: 74 occurrences found in 0,035772 s
Single task: Run no. 59: 74 occurrences found in 0,035779 s
Single task: Run no. 60: 74 occurrences found in 0,035875 s
Single task: Run no. 61: 74 occurrences found in 0,035779 s
Single task: Run no. 62: 74 occurrences found in 0,035798 s
Single task: Run no. 63: 74 occurrences found in 0,035739 s
Single task: Run no. 64: 74 occurrences found in 0,035776 s
Single task: Run no. 65: 74 occurrences found in 0,036224 s
Single task: Run no. 66: 74 occurrences found in 0,035994 s
Single task: Run no. 67: 74 occurrences found in 0,036056 s
Single task: Run no. 68: 74 occurrences found in 0,036242 s
Single task: Run no. 69: 74 occurrences found in 0,036050 s
Single task: Run no. 70: 74 occurrences found in 0,035739 s
Single task: Run no. 71: 74 occurrences found in 0,035754 s
Single task: Run no. 72: 74 occurrences found in 0,036339 s
Single task: Run no. 73: 74 occurrences found in 0,036756 s
Single task: Run no. 74: 74 occurrences found in 0,036273 s
Single task: Run no. 75: 74 occurrences found in 0,036662 s
