
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=13, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,037029 s
Single task: Run no.  1: 74 occurrences found in 0,037625 s
Single task: Run no.  2: 74 occurrences found in 0,037178 s
Single task: Run no.  3: 74 occurrences found in 0,036780 s
Single task: Run no.  4: 74 occurrences found in 0,036866 s
Single task: Run no.  5: 74 occurrences found in 0,037140 s
Single task: Run no.  6: 74 occurrences found in 0,036337 s
Single task: Run no.  7: 74 occurrences found in 0,035762 s
Single task: Run no.  8: 74 occurrences found in 0,035919 s
Single task: Run no.  9: 74 occurrences found in 0,036129 s
Single task: Run no. 10: 74 occurrences found in 0,038906 s
Single task: Run no. 11: 74 occurrences found in 0,038178 s
Single task: Run no. 12: 74 occurrences found in 0,036627 s
Single task: Run no. 13: 74 occurrences found in 0,036678 s
Single task: Run no. 14: 74 occurrences found in 0,037951 s
Single task: Run no. 15: 74 occurrences found in 0,038161 s
Single task: Run no. 16: 74 occurrences found in 0,036398 s
Single task: Run no. 17: 74 occurrences found in 0,036790 s
Single task: Run no. 18: 74 occurrences found in 0,036681 s
Single task: Run no. 19: 74 occurrences found in 0,036642 s
Single task: Run no. 20: 74 occurrences found in 0,036781 s
Single task: Run no. 21: 74 occurrences found in 0,036713 s
Single task: Run no. 22: 74 occurrences found in 0,036644 s
Single task: Run no. 23: 74 occurrences found in 0,036639 s
Single task: Run no. 24: 74 occurrences found in 0,036702 s
Single task: Run no. 25: 74 occurrences found in 0,036647 s
Single task: Run no. 26: 74 occurrences found in 0,036878 s
Single task: Run no. 27: 74 occurrences found in 0,036784 s
Single task: Run no. 28: 74 occurrences found in 0,036692 s
Single task: Run no. 29: 74 occurrences found in 0,036664 s
Single task: Run no. 30: 74 occurrences found in 0,036681 s
Single task: Run no. 31: 74 occurrences found in 0,036659 s
Single task: Run no. 32: 74 occurrences found in 0,036856 s
Single task: Run no. 33: 74 occurrences found in 0,036743 s
Single task: Run no. 34: 74 occurrences found in 0,036666 s
Single task: Run no. 35: 74 occurrences found in 0,036643 s
Single task: Run no. 36: 74 occurrences found in 0,035985 s
Single task: Run no. 37: 74 occurrences found in 0,035894 s
Single task: Run no. 38: 74 occurrences found in 0,035963 s
Single task: Run no. 39: 74 occurrences found in 0,035901 s
Single task: Run no. 40: 74 occurrences found in 0,035920 s
Single task: Run no. 41: 74 occurrences found in 0,035721 s
Single task: Run no. 42: 74 occurrences found in 0,036028 s
