File=Chromosome.txt, pattern='A'
ntasks=100, nthreads=1, warmups=10, runs=100
Using 100 tasks: Run no.  3: 1251521 occurrences found in 0,124610 s
Using 100 tasks: Run no.  4: 1251521 occurrences found in 0,124014 s
Using 100 tasks: Run no.  5: 1251521 occurrences found in 0,123958 s
Using 100 tasks: Run no.  6: 1251521 occurrences found in 0,126573 s
Using 100 tasks: Run no.  7: 1251521 occurrences found in 0,460922 s
Using 100 tasks: Run no.  8: 1251521 occurrences found in 0,123185 s
Using 100 tasks: Run no.  9: 1251521 occurrences found in 0,122922 s
Using 100 tasks: Run no. 10: 1251521 occurrences found in 0,125461 s
Using 100 tasks: Run no. 11: 1251521 occurrences found in 0,122995 s
Using 100 tasks: Run no. 12: 1251521 occurrences found in 0,401489 s
Using 100 tasks: Run no. 13: 1251521 occurrences found in 0,121847 s
Using 100 tasks: Run no. 14: 1251521 occurrences found in 0,126858 s
Using 100 tasks: Run no. 15: 1251521 occurrences found in 0,123581 s
Using 100 tasks: Run no. 16: 1251521 occurrences found in 0,125853 s
Using 100 tasks: Run no. 17: 1251521 occurrences found in 0,467256 s
Using 100 tasks: Run no. 18: 1251521 occurrences found in 0,120895 s
Using 100 tasks: Run no. 19: 1251521 occurrences found in 0,125294 s
Using 100 tasks: Run no. 20: 1251521 occurrences found in 0,125411 s
Using 100 tasks: Run no. 21: 1251521 occurrences found in 0,124182 s
Using 100 tasks: Run no. 22: 1251521 occurrences found in 0,484658 s
Using 100 tasks: Run no. 23: 1251521 occurrences found in 0,121343 s
Using 100 tasks: Run no. 24: 1251521 occurrences found in 0,125781 s
Using 100 tasks: Run no. 25: 1251521 occurrences found in 0,125074 s
Using 100 tasks: Run no. 26: 1251521 occurrences found in 0,293364 s
Using 100 tasks: Run no. 27: 1251521 occurrences found in 0,122689 s
Using 100 tasks: Run no. 28: 1251521 occurrences found in 0,122521 s
Using 100 tasks: Run no. 29: 1251521 occurrences found in 0,121120 s
Using 100 tasks: Run no. 30: 1251521 occurrences found in 0,124274 s
Using 100 tasks: Run no. 31: 1251521 occurrences found in 0,259204 s
Using 100 tasks: Run no. 32: 1251521 occurrences found in 0,123442 s
Using 100 tasks: Run no. 33: 1251521 occurrences found in 0,128154 s
Using 100 tasks: Run no. 34: 1251521 occurrences found in 0,125263 s
Using 100 tasks: Run no. 35: 1251521 occurrences found in 0,122229 s
Using 100 tasks: Run no. 36: 1251521 occurrences found in 0,300243 s
Using 100 tasks: Run no. 37: 1251521 occurrences found in 0,125854 s
Using 100 tasks: Run no. 38: 1251521 occurrences found in 0,123170 s
Using 100 tasks: Run no. 39: 1251521 occurrences found in 0,124161 s
Using 100 tasks: Run no. 40: 1251521 occurrences found in 0,125229 s
Using 100 tasks: Run no. 41: 1251521 occurrences found in 0,301483 s
Using 100 tasks: Run no. 42: 1251521 occurrences found in 0,123756 s
Using 100 tasks: Run no. 43: 1251521 occurrences found in 0,123738 s
Using 100 tasks: Run no. 44: 1251521 occurrences found in 0,125976 s
Using 100 tasks: Run no. 45: 1251521 occurrences found in 0,121719 s
Using 100 tasks: Run no. 46: 1251521 occurrences found in 0,299526 s
Using 100 tasks: Run no. 47: 1251521 occurrences found in 0,123228 s
