
File=Chromosome.txt, pattern='ATATGTTTT'
ntasks=100, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 74 occurrences found in 0,035963 s
Single task: Run no.  1: 74 occurrences found in 0,036815 s
Single task: Run no.  2: 74 occurrences found in 0,037770 s
Single task: Run no.  3: 74 occurrences found in 0,036484 s
Single task: Run no.  4: 74 occurrences found in 0,036670 s
Single task: Run no.  5: 74 occurrences found in 0,036684 s
Single task: Run no.  6: 74 occurrences found in 0,036688 s
Single task: Run no.  7: 74 occurrences found in 0,036729 s
Single task: Run no.  8: 74 occurrences found in 0,036733 s
Single task: Run no.  9: 74 occurrences found in 0,036083 s
Single task: Run no. 10: 74 occurrences found in 0,035831 s
Single task: Run no. 11: 74 occurrences found in 0,036349 s
Single task: Run no. 12: 74 occurrences found in 0,038553 s
Single task: Run no. 13: 74 occurrences found in 0,035877 s
Single task: Run no. 14: 74 occurrences found in 0,036324 s
Single task: Run no. 15: 74 occurrences found in 0,036893 s
Single task: Run no. 16: 74 occurrences found in 0,036679 s
Single task: Run no. 17: 74 occurrences found in 0,036646 s
Single task: Run no. 18: 74 occurrences found in 0,036663 s
Single task: Run no. 19: 74 occurrences found in 0,036694 s
Single task: Run no. 20: 74 occurrences found in 0,036823 s
Single task: Run no. 21: 74 occurrences found in 0,036673 s
Single task: Run no. 22: 74 occurrences found in 0,036671 s
Single task: Run no. 23: 74 occurrences found in 0,036669 s
Single task: Run no. 24: 74 occurrences found in 0,036654 s
Single task: Run no. 25: 74 occurrences found in 0,036642 s
Single task: Run no. 26: 74 occurrences found in 0,036669 s
Single task: Run no. 27: 74 occurrences found in 0,036801 s
Single task: Run no. 28: 74 occurrences found in 0,036682 s
Single task: Run no. 29: 74 occurrences found in 0,036650 s
Single task: Run no. 30: 74 occurrences found in 0,036639 s
Single task: Run no. 31: 74 occurrences found in 0,036628 s
Single task: Run no. 32: 74 occurrences found in 0,036622 s
Single task: Run no. 33: 74 occurrences found in 0,036704 s
Single task: Run no. 34: 74 occurrences found in 0,036748 s
Single task: Run no. 35: 74 occurrences found in 0,036651 s
Single task: Run no. 36: 74 occurrences found in 0,036645 s
Single task: Run no. 37: 74 occurrences found in 0,036699 s
Single task: Run no. 38: 74 occurrences found in 0,036844 s
Single task: Run no. 39: 74 occurrences found in 0,035916 s
Single task: Run no. 40: 74 occurrences found in 0,035885 s
Single task: Run no. 41: 74 occurrences found in 0,035805 s
Single task: Run no. 42: 74 occurrences found in 0,035998 s
Single task: Run no. 43: 74 occurrences found in 0,036209 s
