File=Chromosome.txt, pattern='A'
ntasks=10, nthreads=1, warmups=10, runs=100

Single task: Run no.  0: 1251521 occurrences found in 0,066487 s
Single task: Run no.  1: 1251521 occurrences found in 0,286141 s
Single task: Run no.  2: 1251521 occurrences found in 0,067905 s
Single task: Run no.  3: 1251521 occurrences found in 0,068061 s
Single task: Run no.  4: 1251521 occurrences found in 0,068956 s
Single task: Run no.  5: 1251521 occurrences found in 0,550950 s
Single task: Run no.  6: 1251521 occurrences found in 0,072964 s
Single task: Run no.  7: 1251521 occurrences found in 0,068157 s
Single task: Run no.  8: 1251521 occurrences found in 0,066975 s
Single task: Run no.  9: 1251521 occurrences found in 0,977696 s
Single task: Run no. 10: 1251521 occurrences found in 0,068504 s
Single task: Run no. 11: 1251521 occurrences found in 0,067248 s
Single task: Run no. 12: 1251521 occurrences found in 0,067128 s
Single task: Run no. 13: 1251521 occurrences found in 0,066823 s
Single task: Run no. 14: 1251521 occurrences found in 0,346614 s
Single task: Run no. 15: 1251521 occurrences found in 0,066424 s
Single task: Run no. 16: 1251521 occurrences found in 0,067235 s
Single task: Run no. 17: 1251521 occurrences found in 0,069115 s
Single task: Run no. 18: 1251521 occurrences found in 0,066840 s
Single task: Run no. 19: 1251521 occurrences found in 0,381640 s
Single task: Run no. 20: 1251521 occurrences found in 0,065881 s
Single task: Run no. 21: 1251521 occurrences found in 0,069385 s
Single task: Run no. 22: 1251521 occurrences found in 0,070716 s
Single task: Run no. 23: 1251521 occurrences found in 0,069094 s
Single task: Run no. 24: 1251521 occurrences found in 0,066511 s
Single task: Run no. 25: 1251521 occurrences found in 0,066095 s
Single task: Run no. 26: 1251521 occurrences found in 0,433340 s
Single task: Run no. 27: 1251521 occurrences found in 0,074414 s
Single task: Run no. 28: 1251521 occurrences found in 0,068311 s
Single task: Run no. 29: 1251521 occurrences found in 0,067724 s
Single task: Run no. 30: 1251521 occurrences found in 0,066460 s
Single task: Run no. 31: 1251521 occurrences found in 0,068140 s
Single task: Run no. 32: 1251521 occurrences found in 0,238121 s
Single task: Run no. 33: 1251521 occurrences found in 0,066222 s
Single task: Run no. 34: 1251521 occurrences found in 0,066298 s
Single task: Run no. 35: 1251521 occurrences found in 0,066261 s
Single task: Run no. 36: 1251521 occurrences found in 0,068974 s
Single task: Run no. 37: 1251521 occurrences found in 0,065371 s
Single task: Run no. 38: 1251521 occurrences found in 0,069974 s
Single task: Run no. 39: 1251521 occurrences found in 0,305759 s
Single task: Run no. 40: 1251521 occurrences found in 0,066089 s
Single task: Run no. 41: 1251521 occurrences found in 0,065279 s
Single task: Run no. 42: 1251521 occurrences found in 0,065818 s
Single task: Run no. 43: 1251521 occurrences found in 0,065991 s
Single task: Run no. 44: 1251521 occurrences found in 0,096940 s
Single task: Run no. 45: 1251521 occurrences found in 0,108389 s
Single task: Run no. 46: 1251521 occurrences found in 0,111410 s
Single task: Run no. 47: 1251521 occurrences found in 0,437902 s
Single task: Run no. 48: 1251521 occurrences found in 0,066762 s
Single task: Run no. 49: 1251521 occurrences found in 0,067806 s
Single task: Run no. 50: 1251521 occurrences found in 0,069964 s
Single task: Run no. 51: 1251521 occurrences found in 0,069195 s
Single task: Run no. 52: 1251521 occurrences found in 0,069682 s
Single task: Run no. 53: 1251521 occurrences found in 0,071502 s
Single task: Run no. 54: 1251521 occurrences found in 0,331780 s
Single task: Run no. 55: 1251521 occurrences found in 0,068877 s
Single task: Run no. 56: 1251521 occurrences found in 0,068107 s
Single task: Run no. 57: 1251521 occurrences found in 0,069387 s
Single task: Run no. 58: 1251521 occurrences found in 0,068782 s
Single task: Run no. 59: 1251521 occurrences found in 0,068945 s
Single task: Run no. 60: 1251521 occurrences found in 0,068896 s
Single task: Run no. 61: 1251521 occurrences found in 0,285024 s
Single task: Run no. 62: 1251521 occurrences found in 0,070903 s
Single task: Run no. 63: 1251521 occurrences found in 0,069294 s
Single task: Run no. 64: 1251521 occurrences found in 0,069355 s
Single task: Run no. 65: 1251521 occurrences found in 0,069640 s
Single task: Run no. 66: 1251521 occurrences found in 0,069280 s
Single task: Run no. 67: 1251521 occurrences found in 0,074072 s
Single task: Run no. 68: 1251521 occurrences found in 0,069227 s
Single task: Run no. 69: 1251521 occurrences found in 0,430943 s
Single task: Run no. 70: 1251521 occurrences found in 0,067813 s
Single task: Run no. 71: 1251521 occurrences found in 0,067872 s
Single task: Run no. 72: 1251521 occurrences found in 0,066911 s
Single task: Run no. 73: 1251521 occurrences found in 0,068596 s
Single task: Run no. 74: 1251521 occurrences found in 0,066343 s
Single task: Run no. 75: 1251521 occurrences found in 0,066831 s
Single task: Run no. 76: 1251521 occurrences found in 0,278503 s
Single task: Run no. 77: 1251521 occurrences found in 0,067455 s
Single task: Run no. 78: 1251521 occurrences found in 0,065849 s
Single task: Run no. 79: 1251521 occurrences found in 0,067914 s
Single task: Run no. 80: 1251521 occurrences found in 0,066183 s
Single task: Run no. 81: 1251521 occurrences found in 0,067195 s
Single task: Run no. 82: 1251521 occurrences found in 0,065875 s
Single task: Run no. 83: 1251521 occurrences found in 0,067026 s
Single task: Run no. 84: 1251521 occurrences found in 0,292497 s
Single task: Run no. 85: 1251521 occurrences found in 0,066340 s
Single task: Run no. 86: 1251521 occurrences found in 0,066411 s
Single task: Run no. 87: 1251521 occurrences found in 0,066293 s
Single task: Run no. 88: 1251521 occurrences found in 0,066378 s
Single task: Run no. 89: 1251521 occurrences found in 0,065307 s
Single task: Run no. 90: 1251521 occurrences found in 0,067027 s
Single task: Run no. 91: 1251521 occurrences found in 0,067697 s
Single task: Run no. 92: 1251521 occurrences found in 0,308275 s
Single task: Run no. 93: 1251521 occurrences found in 0,066261 s
Single task: Run no. 94: 1251521 occurrences found in 0,065634 s
Single task: Run no. 95: 1251521 occurrences found in 0,066651 s
Single task: Run no. 96: 1251521 occurrences found in 0,068594 s
Single task: Run no. 97: 1251521 occurrences found in 0,066526 s
Single task: Run no. 98: 1251521 occurrences found in 0,067298 s
Single task: Run no. 99: 1251521 occurrences found in 0,067226 s

Single task (avg.): 0,117649 s

Using 10 tasks: Run no.  0: 1251521 occurrences found in 0,115217 s
